Player,Value,Squad
Kevin Schade,30.0,Brentford
Gustavo Nunes,10.0,Brentford
Tony Yogane,0.125,Brentford
Bryan Mbeumo,55.0,Brentford
Yoane Wissa,32.0,Brentford
Igor Thiago,18.0,Brentford
Iwan Morgan,0.0,Brentford
Alphonse Areola,9.0,West Ham
Wes Foderingham,0.6,West Ham
Lukasz Fabianski,0.5,West Ham
Jean-Clair Todibo,25.0,West Ham
Maximilian Kilman,25.0,West Ham
Konstantinos Mavropanos,17.0,West Ham
Kaelan Casey,1.0,West Ham
Ezra Mayers,0.0,West Ham
Emerson,10.0,West Ham
Oliver Scarles,8.0,West Ham
Aaron Cresswell,0.5,West Ham
Aaron Wan-Bissaka,24.0,West Ham
Vladimír Coufal,5.0,West Ham
Edson Álvarez,25.0,West Ham
Tomáš Souček,18.0,West Ham
Guido Rodríguez,10.0,West Ham
Carlos Soler,18.0,West Ham
James Ward-Prowse,8.0,West Ham
Andrew Irving,4.0,West Ham
Lewis Orford,0.4,West Ham
Lucas Paquetá,28.0,West Ham
Crysencio Summerville,22.0,West Ham
Mohammed Kudus,45.0,West Ham
Jarrod Bowen,40.0,West Ham
Luís Guilherme,15.0,West Ham
Evan Ferguson,25.0,West Ham
Niclas Füllkrug,10.0,West Ham
Danny Ings,6.0,West Ham
Michail Antonio,0.7,West Ham
Jordan Pickford,18.0,Everton
João Virgínia,0.8,Everton
Asmir Begovic,0.25,Everton
Zan Luk Leban,0.15,Everton
Jarrad Branthwaite,50.0,Everton
James Tarkowski,9.0,Everton
Michael Keane,5.0,Everton
Mason Holgate,4.0,Everton
Reece Welch,0.35,Everton
Bradley Moonan,0.0,Everton
Vitaliy Mykolenko,28.0,Everton
Jake O'Brien,18.0,Everton
Nathan Patterson,15.0,Everton
Ashley Young,0.5,Everton
Séamus Coleman,0.5,Everton
Roman Dixon,0.2,Everton
Orel Mangala,18.0,Everton
James Garner,18.0,Everton
Idrissa Gueye,1.5,Everton
Luke Butterfield,0.0,Everton
Carlos Alcaraz,14.0,Everton
Tim Iroegbunam,9.0,Everton
Harrison Armstrong,0.8,Everton
Jenson Metcalfe,0.175,Everton
Callum Bates,0.0,Everton
Abdoulaye Doucouré,7.0,Everton
Owen Barker,0.0,Everton
Dwight McNeil,25.0,Everton
Jack Harrison,14.0,Everton
Isaac Heath,0.0,Everton
Coby Ebere,0.0,Everton
Iliman Ndiaye,22.0,Everton
Jesper Lindstrøm,18.0,Everton
Beto,22.0,Everton
Dominic Calvert-Lewin,16.0,Everton
Armando Broja,12.0,Everton
Neal Maupay,8.0,Everton
Youssef Chermiti,8.0,Everton
Martin Sherif,0.0,Everton
Bernd Leno,10.0,Fulham
Steven Benda,1.0,Fulham
Joachim Andersen,27.0,Fulham
Calvin Bassey,25.0,Fulham
Issa Diop,14.0,Fulham
Jorge Cuenca,5.0,Fulham
Sam Amissah,0.0,Fulham
Antonee Robinson,35.0,Fulham
Ryan Sessegnon,15.0,Fulham
Kenny Tete,13.0,Fulham
Timothy Castagne,13.0,Fulham
Sander Berge,25.0,Fulham
Saša Lukić,14.0,Fulham
Harrison Reed,6.0,Fulham
Tom Cairney,1.5,Fulham
Josh King,1.0,Fulham
Emile Smith Rowe,30.0,Fulham
Andreas Pereira,18.0,Fulham
Alex Iwobi,28.0,Fulham
Reiss Nelson,16.0,Fulham
Willian,0.75,Fulham
Martial Godo,0.6,Fulham
Harry Wilson,15.0,Fulham
Adama Traoré,9.0,Fulham
Rodrigo Muniz,20.0,Fulham
Jay Stansfield,11.0,Fulham
Raúl Jiménez,5.0,Fulham
Carlos Vinícius,3.5,Fulham
Aaron Ramsdale,16.0,Southampton
Gavin Bazunu,9.0,Southampton
Joe Lumley,0.5,Southampton
Alex McCarthy,0.35,Southampton
Taylor Harwood-Bellis,22.0,Southampton
Jan Bednarek,9.0,Southampton
