Player,Value,Squad
Luka Duric,0.25,Hoffenheim
Andrej Kramaric,4.0,Hoffenheim
Julian Justvan,2.2,Hoffenheim
Florian Micheler,0.5,Hoffenheim
Bazoumana Touré,9.0,Hoffenheim
Jacob Bruun Larsen,5.0,Hoffenheim
Marius Bülter,2.5,Hoffenheim
Paul Hennrich,0.4,Hoffenheim
Adam Hlozek,18.0,Hoffenheim
Gift Orban,10.0,Hoffenheim
Max Moerstedt,7.0,Hoffenheim
Mergim Berisha,3.5,Hoffenheim
Haris Tabakovic,2.5,Hoffenheim
Erencan Yardımcı,2.5,Hoffenheim
Ihlas Bebou,1.0,Hoffenheim
David Mokwa,1.0,Hoffenheim
Simon Kalambayi,0.175,Hoffenheim
Noah Atubolu,18.0,Freiburg
Florian Müller,1.2,Freiburg
Jannik Huth,0.4,Freiburg
Philipp Lienhart,12.0,Freiburg
Max Rosenfelder,8.0,Freiburg
Matthias Ginter,7.0,Freiburg
Bruno Ogbus,1.0,Freiburg
Kenneth Schmidt,0.8,Freiburg
Manuel Gulde,0.4,Freiburg
Jordy Makengo,6.0,Freiburg
Christian Günter,3.5,Freiburg
Roland Sallai,10.0,Freiburg
Kiliann Sildillia,10.0,Freiburg
Lukas Kübler,1.5,Freiburg
Patrick Osterhage,10.0,Freiburg
Nicolas Höfler,0.5,Freiburg
Maximilian Eggestein,10.0,Freiburg
Johan Manzambi,8.0,Freiburg
Yann Sturm,0.5,Freiburg
Merlin Röhl,12.0,Freiburg
Florent Muslija,1.8,Freiburg
Daniel-Kofi Kyereh,0.8,Freiburg
Vincenzo Grifo,6.0,Freiburg
Noah Weißhaupt,5.0,Freiburg
Ritsu Doan,25.0,Freiburg
Eren Dinkçi,8.0,Freiburg
Niklas Beste,7.0,Freiburg
Maximilian Philipp,0.8,Freiburg
Junior Adamu,5.0,Freiburg
Lucas Höler,3.0,Freiburg
Michael Gregoritsch,3.0,Freiburg
Robin Zentner,4.0,Mainz 05
Lasse Rieß,0.4,Mainz 05
Daniel Batz,0.25,Mainz 05
Andreas Hanche-Olsen,6.0,Mainz 05
Moritz Jenz,5.0,Mainz 05
Dominik Kohr,3.5,Mainz 05
Maxim Leitsch,1.5,Mainz 05
Danny da Costa,1.5,Mainz 05
Stefan Bell,0.8,Mainz 05
Maxim Dal,0.15,Mainz 05
Phillipp Mwene,1.8,Mainz 05
Anthony Caci,12.0,Mainz 05
Nikolas Veratschnig,1.5,Mainz 05
Silvan Widmer,1.2,Mainz 05
Kaishu Sano,20.0,Mainz 05
Lennard Maloney,3.5,Mainz 05
Edimilson Fernandes,3.0,Mainz 05
Nadiem Amiri,20.0,Mainz 05
Daniel Gleiber,0.225,Mainz 05
Paul Nebel,24.0,Mainz 05
Hyun-seok Hong,3.5,Mainz 05
Jae-sung Lee,2.5,Mainz 05
Marco Richter,1.5,Mainz 05
Aymen Barkok,0.5,Mainz 05
Gabriel Vidovic,3.0,Mainz 05
Arnaud Nordin,5.0,Mainz 05
Armindo Sieb,3.0,Mainz 05
Jonathan Burkardt,35.0,Mainz 05
Nelson Weiper,10.0,Mainz 05
Karim Onisiwo,0.8,Mainz 05
Finn Dahmen,9.0,Augsburg
Nediljko Labrovic,2.5,Augsburg
Daniel Klein,0.15,Augsburg
Chrislain Matsima,22.0,Augsburg
Felix Uduokhai,7.0,Augsburg
Cédric Zesiger,7.0,Augsburg
Keven Schlotterbeck,6.0,Augsburg
