Player,Value,Squad
Nacho Miras,0.4,Mechelen
Yannick Thoelen,0.2,Mechelen
Oskar Annell,0.05,Mechelen
Axel Willockx,0.0,Mechelen
José Marsà,3.0,Mechelen
Ahmed Touba,2.5,Mechelen
Toon Raemaekers,1.2,Mechelen
Zinho Vanheusden,1.0,Mechelen
Stephen Welsh,1.0,Mechelen
Bas Van den Eynden,0.7,Mechelen
Lukas Baert,0.05,Mechelen
Daam Foulon,2.5,Mechelen
Moncef Zekri,0.5,Mechelen
Rafik Belghali,2.5,Mechelen
Sandy Walsh,0.8,Mechelen
Jules Van Cleemput,0.0,Mechelen
Fredrik Hammar,1.5,Mechelen
Aziz Ouattara,1.0,Mechelen
Mory Konaté,0.5,Mechelen
Elton Yeboah,0.2,Mechelen
Rob Schoofs,2.2,Mechelen
Noah Makanza,0.0,Mechelen
Patrick Pflücke,1.6,Mechelen
Kerim Mrabti,2.0,Mechelen
Bilal Bafdili,0.9,Mechelen
Isaac Asante,0.2,Mechelen
Nikola Storm,2.0,Mechelen
Petter Nosa Dahl,0.6,Mechelen
Bill Antonio,1.2,Mechelen
Geoffry Hairemans,0.5,Mechelen
Benito Raman,2.0,Mechelen
Lion Lauberbach,1.0,Mechelen
Keano Vanrafelghem,0.9,Mechelen
Julien Ngoy,0.4,Mechelen
Leo Kokubo,3.0,Sint-Truiden
Jo Coppens,0.15,Sint-Truiden
Matt Lendfers,0.15,Sint-Truiden
Rein Van Helden,2.5,Sint-Truiden
Shogo Taniguchi,1.0,Sint-Truiden
Zineddine Belaid,0.8,Sint-Truiden
Visar Musliu,0.65,Sint-Truiden
Wolke Janssens,0.4,Sint-Truiden
Bruno Godeau,0.4,Sint-Truiden
Hugo Lambotte,0.2,Sint-Truiden
David Mindombe,0.0,Sint-Truiden
Ryoya Ogawa,1.5,Sint-Truiden
Simen Juklerød,0.3,Sint-Truiden
Louis Patris,2.0,Sint-Truiden
Robert-Jan Vanwesemael,1.0,Sint-Truiden
Frederic Ananou,0.4,Sint-Truiden
Rihito Yamamoto,0.9,Sint-Truiden
Alouis Diriken,0.15,Sint-Truiden
Joel Chima Fujita,3.0,Sint-Truiden
Olivier Dumont,0.4,Sint-Truiden
Arthur Alexis,0.0,Sint-Truiden
Loïc Lapoussin,2.5,Sint-Truiden
Ryotaro Ito,2.5,Sint-Truiden
Isaías Delpupo,0.4,Sint-Truiden
Ricardo da Costa Pinto,0.0,Sint-Truiden
Didier Lamkel Zé,0.5,Sint-Truiden
Mats Kuipers,0.0,Sint-Truiden
Billal Brahimi,1.8,Sint-Truiden
Adam Nhaili,0.25,Sint-Truiden
Joselpho Barnes,0.2,Sint-Truiden
Adriano Bertaccini,4.5,Sint-Truiden
Andrés Ferrari,1.5,Sint-Truiden
Kahveh Zahiroleslam,0.8,Sint-Truiden
Hiiro Komori,0.7,Sint-Truiden
Jay-David Mbalanda,0.1,Sint-Truiden
Patrik Gunnarsson,1.0,Kortrijk
Marko Ilic,0.7,Kortrijk
Tom Vandenberghe,0.4,Kortrijk
Ebbe De Vlaeminck,0.25,Kortrijk
Lucas Pirard,0.25,Kortrijk
Xander Vandermeirsch,0.0,Kortrijk
Tristen Alliet,0.0,Kortrijk
Jean-Kévin Duverne,2.5,Kortrijk
Haruya Fujii,2.0,Kortrijk
João Silva,1.5,Kortrijk
Bram Lagae,0.9,Kortrijk
James Ndjeungoue,0.6,Kortrijk
Mark Mampassi,0.5,Kortrijk
Ryotaro Tsunoda,0.5,Kortrijk
Fuhna Wirsiy Nsolo,0.0,Kortrijk
Ryan Alebiosu,0.5,Kortrijk
Gilles Dewaele,0.5,Kortrijk
Mohamed Fofana,0.0,Kortrijk
Dermane Karim,3.0,Kortrijk
Marco Ilaimaharitra,0.8,Kortrijk
Abdoulaye Sissako,0.7,Kortrijk
Tomoki Takamine,0.65,Kortrijk
Kristiyan Malinov,0.3,Kortrijk
Massimo Decoene,0.25,Kortrijk
Mouhamed Guèye,0.25,Kortrijk
Leko Verbauwhede,0.0,Kortrijk
Nayel Mehssatou,2.2,Kortrijk
Iver Fossum,0.5,Kortrijk
Brecht Dejaegere,0.5,Kortrijk
Nathan Huygevelde,0.1,Kortrijk
Dion De Neve,0.9,Kortrijk
Abdelkahar Kadri,2.2,Kortrijk
Youssef Challouk,0.4,Kortrijk
Billal Messaoudi,0.6,Kortrijk
Takuro Kaneko,1.5,Kortrijk
Massimo Bruno,0.3,Kortrijk
Nacho Ferri,2.2,Kortrijk
Roko Simic,2.0,Kortrijk
Thierry Ambrose,0.9,Kortrijk
Karol Czubak,0.6,Kortrijk
Koen Kostons,0.6,Kortrijk
Mounaïm El Idrissy,0.5,Kortrijk
Kyan Himpe,0.0,Kortrijk
Michael Verrips,0.8,Dender
Guillaume Dietsch,0.25,Dender
Julien Devriendt,0.2,Dender
Tom Holmes,1.8,Dender
Joedrick Pupe,1.2,Dender
