Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
JoГЈo Moreira,POR,"DF,MF",SГЈo Paulo,19,2.2,0,1,1,100.0,0.46,0.46,0.00,0.00,0,0
AnГ­bal Moreno,ARG,MF,Palmeiras,24,28.0,1,26,6,23.1,0.93,0.21,0.04,0.17,0,0
Gabriel Moscardo,BRA,MF,Corinthians,18,0.9,0,2,1,50.0,2.22,1.11,0.00,0.00,0,0
Henry Mosquera,COL,"FW,MF",RB Bragantino,22,21.5,1,45,16,35.6,2.09,0.74,0.02,0.06,0,0
Gustavo Mosquito,BRA,"MF,FW",VitГіria,26,8.9,1,13,2,15.4,1.47,0.23,0.00,0.00,1,1
Gustavo Mosquito,BRA,"MF,FW",Corinthians,26,4.5,1,5,1,20.0,1.12,0.22,0.20,1.00,0,0
Jean Mota,BRA,MF,VitГіria,30,4.6,1,7,4,57.1,1.51,0.87,0.14,0.25,0,0
Hugo Moura,BRA,MF,Vasco da Gama,26,23.5,1,26,6,23.1,1.11,0.26,0.04,0.17,0,0
Lucas Moura,BRA,MF,SГЈo Paulo,31,25.0,10,43,20,46.5,1.72,0.80,0.19,0.40,2,2
Mycael,BRA,GK,Athletico Paranaense,19,17.4,0,0,0,,0.00,0.00,,,0,0
LГ©o Naldi,BRA,MF,VitГіria,22,12.3,0,14,3,21.4,1.14,0.24,0.00,0.00,0,0
Matheus Nascimento,BRA,FW,Botafogo (RJ),19,0.3,0,0,0,,0.00,0.00,,,0,0
Nata,BRA,DF,GrГЄmio,22,5.6,0,0,0,,0.00,0.00,,,0,0
Nathan,BRA,DF,Internacional,22,0.1,0,0,0,,0.00,0.00,,,0,0
Nathan,BRA,"FW,MF",GrГЄmio,27,3.6,0,8,2,25.0,2.22,0.55,0.00,0.00,0,0
Kaiky Naves,BRA,DF,Palmeiras,21,8.1,0,4,0,0.0,0.49,0.00,0.00,,0,0
NenГЄ,BRA,"MF,FW",Juventude,42,16.7,3,23,9,39.1,1.37,0.54,0.13,0.33,0,0
Neris,BRA,DF,Cruzeiro,31,3.4,0,1,1,100.0,0.30,0.30,0.00,0.00,0,0
Neris,BRA,DF,VitГіria,31,15.1,1,2,1,50.0,0.13,0.07,0.50,1.00,0,0
