Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Value,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Mathias Delorge,BEL,MF,Gent,20,28,28,2388,26.5,1,3,4,1,0,0,3,0,0.04,0.11,0.15,0.04,0.15,9.0,30.0,9.0,30.0,0.86,0.26,0.03,0.11,0.0,34.0,28.0,2.0,107.0,34.0,36.0,0.0
Isaias Delpupo,ARG,"FW,DF",Sint-Truiden,21,8,1,139,1.5,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.4,4.0,3.0,75.0,2.59,1.94,0.0,0.0,0.0,4.0,6.0,0.0,3.0,0.0,2.0,0.0
Olivier Deman,BEL,DF,Antwerp,24,10,10,891,9.9,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,5.0,41.7,0.64,0.26,0.0,0.0,0.0,25.0,19.0,1.0,51.0,28.0,47.0,0.0
Bas van den Eynden,BEL,DF,Mechelen,22,9,8,724,8.0,3,0,3,3,0,0,2,0,0.37,0.0,0.37,0.37,0.37,0.7,10.0,3.0,30.0,0.88,0.26,0.3,1.0,0.0,14.0,3.0,0.0,1.0,11.0,9.0,0.0
Leander Dendoncker,BEL,"MF,DF",Anderlecht,29,20,19,1739,19.3,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05,4.5,34.0,10.0,29.4,1.17,0.34,0.06,0.2,0.0,32.0,22.0,1.0,6.0,38.0,45.0,0.0
Kevin Denkey,TOG,FW,Cercle Brugge,23,17,14,1311,14.6,10,1,11,9,1,1,3,0,0.69,0.07,0.76,0.62,0.69,14.0,50.0,23.0,46.0,3.43,1.58,0.18,0.39,0.0,25.0,15.0,11.0,6.0,0.0,4.0,0.0
Djevencio van der Kust,SUR,DF,Beerschot,23,3,3,197,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,5.0,6.0,0.0
Alfie Devine,ENG,MF,Westerlo,19,21,18,1606,17.8,4,0,4,4,0,0,3,0,0.22,0.0,0.22,0.22,0.22,3.5,51.0,18.0,35.3,2.17,0.77,0.12,0.33,0.0,13.0,9.0,0.0,35.0,19.0,21.0,1.0
Julien Devriendt,BEL,GK,Dender,25,4,3,315,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilles Dewaele,BEL,DF,Kortrijk,28,19,12,1094,12.2,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,0.5,8.0,3.0,37.5,0.66,0.25,0.13,0.33,0.0,13.0,6.0,0.0,36.0,12.0,9.0,0.0
Ibrahim Diakite,GUI,DF,Cercle Brugge,20,22,18,1647,18.3,2,0,2,2,0,0,2,1,0.11,0.0,0.11,0.11,0.11,1.2,7.0,4.0,57.1,0.3,0.17,0.43,0.75,0.0,26.0,34.0,1.0,28.0,29.0,24.0,0.0
Daan Dierckx,BEL,DF,Standard Liège,21,7,6,523,5.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.8,6.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,9.0,1.0,0.0,2.0,11.0,12.0,0.0
Guillaume Dietsch,FRA,GK,Dender,23,1,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Alouis Diriken,BEL,MF,Sint-Truiden,20,2,2,147,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0
Kasper Dolberg,DEN,FW,Anderlecht,26,22,22,1672,18.6,14,1,15,10,4,4,1,0,0.75,0.05,0.81,0.54,0.59,13.0,83.0,43.0,51.8,3.18,1.65,0.16,0.3,0.0,21.0,43.0,14.0,5.0,4.0,7.0,0.0
Mahamadou Doumbia,MLI,MF,Antwerp,20,21,18,1662,18.5,3,0,3,2,1,1,5,0,0.16,0.0,0.16,0.11,0.11,9.0,49.0,11.0,22.4,1.82,0.41,0.04,0.18,0.0,47.0,43.0,0.0,9.0,20.0,34.0,0.0
Souleyman Doumbia,CIV,DF,Standard Liège,27,10,1,186,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,4.0,5.0,0.0
Vetle Dragsnes,NOR,DF,Charleroi,30,28,25,2155,23.9,0,1,1,0,0,0,2,0,0.0,0.04,0.04,0.0,0.04,0.8,12.0,2.0,16.7,0.42,0.07,0.0,0.0,0.0,19.0,11.0,4.0,71.0,15.0,38.0,0.0
Anders Dreyer,DEN,FW,Anderlecht,26,18,16,1377,15.3,3,5,8,3,0,0,0,0,0.2,0.33,0.52,0.2,0.52,9.0,43.0,18.0,41.9,2.81,1.18,0.07,0.17,0.0,6.0,9.0,7.0,73.0,4.0,7.0,0.0
Olivier Dumont,BEL,"MF,FW",Sint-Truiden,22,13,5,441,4.9,1,0,1,1,0,0,0,0,0.2,0.0,0.2,0.2,0.2,0.4,12.0,3.0,25.0,2.28,0.57,0.08,0.33,0.0,8.0,7.0,1.0,7.0,1.0,10.0,0.0
Jean-Kevin Duverne,HAI,"DF,MF",Kortrijk,27,7,7,630,7.0,3,0,3,3,0,0,1,0,0.43,0.0,0.43,0.43,0.43,2.5,8.0,6.0,75.0,0.62,0.46,0.5,0.67,0.0,15.0,6.0,0.0,41.0,15.0,33.0,0.0
Dennis Eckert,GER,FW,Union SG,27,26,23,1994,22.2,7,0,7,6,1,2,2,0,0.3153153153153153,0.0,0.3153153153153153,0.2702702702702703,0.2702702702702703,2.5,80.0,32.0,40.0,2.49,1.0,0.1,0.25,0.0,37.0,50.0,9.0,59.0,8.0,25.0,0.0
Samuel Edozie,ENG,FW,Anderlecht,21,17,11,955,10.6,2,2,4,2,0,0,1,0,0.19,0.19,0.38,0.19,0.38,6.0,28.0,10.0,35.7,1.99,0.71,0.11,0.3,0.0,8.0,37.0,6.0,32.0,8.0,11.0,0.0
Malamine Efekele,FRA,"MF,FW",Cercle Brugge,20,13,2,243,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,4.0,3.0,3.0,0.0
Jurgen Ekkelenkamp,NED,MF,Antwerp,24,1,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nunzio Engwanda,BEL,DF,Anderlecht,16,2,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthieu Epolo,BEL,GK,Standard Liège,19,19,18,1665,18.5,0,1,1,0,0,0,0,0,0.0,0.05,0.05,0.0,0.05,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Alieu Fadera,GAM,MF,Genk,22,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4.5,4.0,1.0,25.0,2.0,0.5,0.0,0.0,0.0,5.0,6.0,0.0,9.0,2.0,10.0,0.0
Noah Fadiga,SEN,"DF,MF",Gent,24,15,12,841,9.3,4,0,4,4,0,0,2,0,0.43,0.0,0.43,0.43,0.43,3.0,23.0,11.0,47.8,1.86,0.89,0.22,0.45,0.0,24.0,19.0,1.0,12.0,7.0,11.0,0.0
Omar Fayed,EGY,DF,Beerschot,21,11,9,740,8.2,0,1,1,0,0,0,5,0,0.0,0.12,0.12,0.0,0.12,1.0,1.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,13.0,12.0,0.0,0.0,20.0,15.0,0.0
Matias Fernandez-Pardo,BEL,"MF,FW",Gent,19,3,2,164,1.8,1,0,1,1,0,0,1,0,0.55,0.0,0.55,0.55,0.55,15.0,6.0,3.0,50.0,3.29,1.65,0.17,0.33,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0
Andres Ferrari,URU,FW,Sint-Truiden,21,22,9,824,9.2,5,1,6,5,0,0,1,0,0.55,0.11,0.66,0.55,0.66,1.5,35.0,14.0,40.0,2.9,1.16,0.14,0.36,0.0,23.0,16.0,6.0,2.0,3.0,13.0,0.0
Fabio Ferraro,BEL,"DF,MF",Dender,21,30,29,2401,26.7,0,5,5,0,0,0,1,0,0.0,0.19,0.19,0.0,0.19,1.3,21.0,8.0,38.1,0.65,0.25,0.05,0.13,0.0,14.0,19.0,0.0,133.0,40.0,59.0,0.0
Nacho Ferri,ESP,FW,Kortrijk,19,27,22,1844,20.5,6,1,7,6,0,0,6,0,0.29,0.05,0.34,0.29,0.34,2.2,54.0,20.0,37.0,2.13,0.79,0.15,0.4,0.0,49.0,37.0,7.0,10.0,2.0,15.0,0.0
Karol Fila,POL,DF,Dender,26,5,5,366,4.1,1,0,1,1,0,0,3,0,0.25,0.0,0.25,0.25,0.25,0.6,4.0,3.0,75.0,0.98,0.74,0.25,0.33,0.0,7.0,3.0,2.0,8.0,7.0,8.0,0.0
Mathias Fixelles,BEL,"FW,MF",Westerlo,27,5,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0
Alexis Flips,FRA,"FW,MF",Charleroi,24,11,2,279,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,3.0,18.75,4.44,0.83,0.0,0.0,0.0,6.0,3.0,0.0,43.0,3.0,4.0,0.0
Thomas Foket,BEL,DF,Anderlecht,29,11,5,525,5.8,0,2,2,0,0,0,0,0,0.0,0.34,0.34,0.0,0.34,1.5,5.0,2.0,40.0,0.79,0.32,0.0,0.0,0.0,7.0,5.0,1.0,24.0,8.0,5.0,0.0
Nurio Fortuna,ANG,"MF,DF",Gent,29,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Marlon Fossey,USA,DF,Standard Liège,25,29,28,2525,28.1,0,1,1,0,0,0,2,0,0.0,0.04,0.04,0.0,0.04,5.0,17.0,3.0,17.6,0.45,0.08,0.0,0.0,0.0,17.0,23.0,7.0,96.0,54.0,27.0,0.0
Iver Fossum,NOR,MF,Kortrijk,28,11,2,233,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,1.0,50.0,0.77,0.39,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0
Daam Foulon,BEL,"DF,MF",Mechelen,25,20,18,1593,17.7,3,3,6,3,0,0,3,0,0.17,0.17,0.34,0.17,0.34,2.5,17.0,6.0,35.3,0.94,0.33,0.18,0.5,0.0,12.0,36.0,6.0,50.0,13.0,24.0,1.0
Guillaume Francois,BEL,"DF,FW",Union SG,34,3,1,114,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.15,3.0,1.0,33.3,2.37,0.79,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0
Matija Frigan,CRO,FW,Westerlo,21,29,21,1846,20.5,9,1,10,9,0,1,7,0,0.44,0.05,0.49,0.44,0.49,7.5,89.0,42.0,47.2,3.01,1.42,0.15,0.31,0.0,33.0,37.0,18.0,10.0,2.0,9.0,0.0
Haruya Fujii,JPN,DF,Kortrijk,23,18,17,1544,17.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,16.7,0.3,0.05,0.0,0.0,0.0,12.0,19.0,0.0,8.0,29.0,24.0,0.0
Joel Fujita,JPN,MF,Sint-Truiden,22,27,27,2399,26.7,0,3,3,0,0,0,6,0,0.0,0.11,0.11,0.0,0.11,3.0,21.0,4.0,19.0,0.64,0.12,0.0,0.0,0.0,44.0,16.0,0.0,13.0,54.0,69.0,0.0
Mohammed Fuseini,GHA,"FW,MF",Union SG,22,23,14,1290,14.3,6,1,7,5,1,1,3,0,0.42,0.07,0.49,0.35,0.42,4.5,48.0,15.0,31.3,2.56,0.8,0.17,0.53,0.0,27.0,23.0,14.0,8.0,7.0,7.0,0.0
Hugo Gambor,CTA,DF,Gent,21,18,14,1219,13.5,1,0,1,1,0,0,3,0,0.07,0.0,0.07,0.07,0.07,1.0,2.0,1.0,50.0,0.15,0.07,0.5,1.0,0.0,15.0,18.0,0.0,11.0,22.0,26.0,0.0
Omri Gandelman,ISR,"MF,FW",Gent,24,24,17,1517,16.9,4,3,7,4,0,0,2,0,0.24,0.18,0.42,0.24,0.42,4.0,36.0,14.0,38.9,1.79,0.7,0.14,0.36,0.0,30.0,11.0,8.0,6.0,12.0,24.0,0.0
Wouter George,BEL,MF,OH Leuven,22,8,1,172,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7,8.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,15.0,9.0,0.0,24.0,3.0,16.0,0.0
Pieter Gerkens,BEL,MF,Gent,28,19,7,700,7.8,1,1,2,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.7,6.0,1.0,16.7,0.77,0.13,0.17,1.0,0.0,3.0,7.0,0.0,35.0,15.0,9.0,0.0
Faisal Al Ghamdi,KSA,MF,Beerschot,22,21,21,1747,19.4,0,1,1,0,0,1,5,1,0.0,0.05,0.05,0.0,0.05,1.5,29.0,8.0,27.6,1.19,0.33,0.0,0.0,0.0,32.0,23.0,4.0,18.0,32.0,46.0,0.0
Marc Giger,SUI,"DF,MF",Union SG,20,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,2.0,1.0,50.0,7.83,3.91,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Oscar Gil,ESP,DF,OH Leuven,27,17,12,1006,11.2,1,0,1,1,0,0,4,1,0.09,0.0,0.09,0.09,0.09,0.7,10.0,3.0,30.0,0.62,0.19,0.1,0.33,0.0,25.0,37.0,1.0,22.0,19.0,30.0,0.0
Nick Gillekens,BEL,GK,Westerlo,29,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Bruno Godeau,BEL,DF,Sint-Truiden,32,28,28,2457,27.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.4,14.0,4.0,28.6,0.49,0.14,0.0,0.0,0.0,20.0,11.0,0.0,12.0,40.0,33.0,0.0
Bryan Goncalves,FRA,DF,Dender,28,19,12,1028,11.4,0,1,1,0,0,0,6,0,0.0,0.09,0.09,0.0,0.09,0.6,6.0,2.0,33.3,0.31,0.1,0.17,0.5,0.0,21.0,15.0,0.0,111.0,34.0,25.0,1.0
Hyllarion Goore,CIV,"FW,MF",Gent,18,5,2,209,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,24.0,6.0,25.0,4.27,1.07,0.0,0.0,0.0,5.0,3.0,3.0,4.0,0.0,2.0,0.0
Keisuke Goto,JPN,FW,Anderlecht,19,6,2,154,1.7,1,0,1,1,0,0,0,0,0.58,0.0,0.58,0.58,0.58,1.2,7.0,3.0,42.9,2.94,1.26,0.29,0.67,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0
Mouhamed Gueye,SEN,"DF,MF",Kortrijk,20,3,1,115,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.25,2.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0
Parfait Guiagon,CIV,FW,Charleroi,23,26,25,1971,21.9,5,4,9,5,0,0,6,0,0.23,0.18,0.41,0.23,0.41,3.0,82.0,26.0,31.7,2.79,0.88,0.07,0.23,0.0,25.0,44.0,1.0,46.0,14.0,27.0,0.0
Muhammed Gumuskaya,TUR,"FW,MF",Westerlo,23,5,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.35,1.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0
Patrik Gunnarsson,ISL,GK,Kortrijk,23,11,11,922,10.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Andri Gudjohnsen,ISL,FW,Gent,22,26,13,1257,14.0,4,1,5,4,0,1,1,0,0.29,0.07,0.36,0.29,0.36,2.0,23.0,8.0,34.8,1.36,0.47,0.22,0.63,0.0,15.0,29.0,2.0,0.0,1.0,11.0,0.0
Anouar Ait El Hadj,BEL,MF,Union SG,22,19,12,1075,11.9,3,1,4,3,0,0,1,0,0.25,0.08,0.33,0.25,0.33,3.0,41.0,15.0,36.6,2.25,0.82,0.12,0.33,0.0,14.0,12.0,5.0,50.0,9.0,23.0,0.0
Geoffry Hairemans,BEL,"MF,FW",Mechelen,32,23,12,1186,13.2,2,2,4,2,0,0,1,0,0.15,0.15,0.3,0.15,0.3,0.5,16.0,5.0,31.3,0.93,0.29,0.13,0.4,0.0,16.0,22.0,3.0,68.0,13.0,19.0,0.0
Youssef Hamdaoui,BEL,DF,Antwerp,16,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fredrik Hammer,SWE,MF,Mechelen,23,10,9,787,8.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.5,11.0,3.0,27.3,0.6,0.16,0.0,0.0,0.0,35.0,14.0,0.0,4.0,36.0,36.0,0.0
Dogucan Haspolat,TUR,MF,Westerlo,24,29,29,2605,28.9,3,5,8,3,0,0,8,0,0.1,0.17,0.28,0.1,0.28,5.0,37.0,15.0,40.5,1.0,0.4,0.08,0.2,1.0,57.0,33.0,1.0,259.0,57.0,64.0,0.0
Ibe Hautekiet,BEL,DF,Standard Liège,22,25,25,2159,24.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,3.5,6.0,1.0,16.7,0.18,0.03,0.0,0.0,0.0,28.0,11.0,1.0,2.0,61.0,44.0,0.0
Thorgan Hazard,BEL,"FW,MF",Anderlecht,31,11,7,671,7.5,2,1,3,2,0,0,2,0,0.27,0.13,0.4,0.27,0.4,2.5,21.0,7.0,33.3,1.48,0.49,0.1,0.29,0.0,24.0,21.0,6.0,93.0,4.0,18.0,0.0
Ewan Henderson,SCO,"MF,FW",Beerschot,24,25,20,1695,18.8,2,1,3,2,0,1,3,1,0.11,0.05,0.16,0.11,0.16,0.6,36.0,9.0,25.0,1.45,0.36,0.08,0.33,0.0,16.0,34.0,4.0,109.0,14.0,23.0,0.0
Laurent Henkinet,BEL,GK,Standard Liège,31,4,4,315,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lennard Hens,BEL,MF,Dender,28,18,8,748,8.3,1,1,2,1,0,0,0,0,0.12,0.12,0.24,0.12,0.24,0.4,23.0,4.0,17.4,1.88,0.33,0.04,0.25,0.0,22.0,19.0,1.0,79.0,21.0,18.0,0.0
Lucas Hey,DEN,DF,Anderlecht,21,8,7,649,7.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,20.0,0.31,0.06,0.0,0.0,0.0,10.0,17.0,1.0,2.0,11.0,14.0,0.0
Daan Heymans,BEL,MF,Charleroi,25,29,29,2516,28.0,11,1,12,7,4,5,6,0,0.39,0.04,0.43,0.25,0.29,3.0,103.0,40.0,38.8,2.79,1.08,0.09,0.23,0.0,50.0,16.0,5.0,37.0,19.0,36.0,0.0
Bryan Heynen,BEL,MF,Genk,27,28,26,2351,26.1,0,2,2,0,0,0,3,0,0.0,0.08,0.08,0.0,0.08,11.0,33.0,6.0,18.2,0.97,0.18,0.0,0.0,0.0,28.0,35.0,1.0,25.0,54.0,45.0,0.0
Kyan Himpe,BEL,"FW,DF",Kortrijk,18,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Hjulsager,DEN,"FW,MF",Gent,29,7,7,443,4.9,0,1,1,0,0,0,1,0,0.0,0.2,0.2,0.0,0.2,0.6,17.0,5.0,29.4,2.69,0.79,0.0,0.0,0.0,11.0,9.0,0.0,46.0,3.0,9.0,0.0
Tom Holmes,ENG,DF,Dender,24,2,1,94,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.8,3.0,2.0,66.7,2.87,1.91,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0
Milo Horemans,BEL,MF,Antwerp,18,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Andreas Hountondji,BEN,FW,Standard Liège,22,10,2,317,3.5,1,0,1,1,0,0,0,0,0.28,0.0,0.28,0.28,0.28,2.5,26.0,12.0,46.2,2.67,1.23,0.15,0.33,0.0,6.0,2.0,8.0,15.0,1.0,1.0,0.0
David Hrncar,SVK,DF,Dender,26,25,18,1597,17.7,2,2,4,2,0,0,1,1,0.11,0.11,0.23,0.11,0.23,1.2,25.0,12.0,48.0,1.02,0.49,0.16,0.33,0.0,11.0,6.0,2.0,137.0,27.0,27.0,0.0
Patrik Hrosovsky,SVK,MF,Genk,32,26,19,1687,18.7,6,2,8,6,0,0,2,0,0.32,0.11,0.43,0.32,0.43,2.7,39.0,16.0,41.0,1.58,0.65,0.15,0.38,0.0,13.0,27.0,0.0,36.0,9.0,20.0,0.0
Cesar Huerta,MEX,"MF,FW",Anderlecht,23,9,7,615,6.8,2,2,4,2,0,0,0,0,0.29,0.29,0.59,0.29,0.59,6.0,19.0,4.0,21.1,1.55,0.33,0.16,0.75,0.0,19.0,24.0,1.0,19.0,2.0,11.0,0.0
Dean Huiberts,NED,MF,Beerschot,24,10,4,345,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,2.0,1.0,50.0,0.46,0.23,0.0,0.0,0.0,9.0,4.0,0.0,4.0,6.0,13.0,0.0
Oh Hyeon-gyu,KOR,FW,Genk,23,27,2,436,4.8,7,1,8,4,3,3,1,0,1.44,0.21,1.65,0.83,1.03,3.5,37.0,21.0,56.8,5.2,2.95,0.16,0.29,0.0,6.0,13.0,4.0,3.0,0.0,4.0,0.0
Hong Hyunseok,KOR,MF,Gent,25,3,3,248,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,1.0,2.0,0.0
Mounaim El Idrissy,FRA,"DF,FW",Kortrijk,25,15,3,345,3.8,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,1.0,50.0,0.52,0.26,0.0,0.0,0.0,9.0,13.0,2.0,9.0,5.0,7.0,0.0
Chukwubuikem Ikwuemesi,NGA,FW,OH Leuven,22,27,15,1536,17.1,4,0,4,4,0,0,2,0,0.23,0.0,0.23,0.23,0.23,2.0,57.0,11.0,19.3,2.2,0.43,0.11,0.55,0.0,54.0,49.0,17.0,10.0,5.0,9.0,1.0
Marco Ilaimaharitra,MAD,MF,Kortrijk,29,8,7,629,7.0,1,0,1,1,0,0,2,0,0.14,0.0,0.14,0.14,0.14,0.8,7.0,1.0,14.3,0.59,0.08,0.14,1.0,0.0,18.0,10.0,0.0,12.0,12.0,17.0,0.0
Marko Ilic,SRB,GK,Kortrijk,26,5,5,425,4.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Atsuki Ito,JPN,MF,Gent,25,25,21,1909,21.2,2,1,3,2,0,0,6,0,0.09,0.05,0.14,0.09,0.14,3.0,33.0,11.0,33.3,1.12,0.37,0.06,0.18,0.0,39.0,13.0,0.0,20.0,30.0,51.0,0.0
Ryotaro Ito,JPN,MF,Sint-Truiden,26,28,23,2009,22.3,2,3,5,2,0,0,0,0,0.09,0.13,0.22,0.09,0.22,2.5,45.0,13.0,28.9,1.68,0.49,0.04,0.15,0.0,7.0,25.0,2.0,76.0,16.0,22.0,0.0
Franjo Ivanovic,CRO,"FW,MF",Union SG,20,24,22,1759,19.5,11,4,15,10,1,1,2,0,0.56,0.2,0.77,0.51,0.72,13.0,94.0,51.0,54.3,3.33,1.81,0.14,0.25,0.0,43.0,41.0,14.0,16.0,7.0,16.0,0.0
Nordin Jackers,BEL,GK,Club Brugge,26,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Vincent Janssen,NED,"FW,MF",Antwerp,30,28,28,2488,27.6,10,6,16,10,0,1,8,0,0.36,0.22,0.58,0.36,0.58,7.0,88.0,38.0,43.2,2.7,1.16,0.13,0.29,0.0,49.0,57.0,22.0,16.0,12.0,25.0,0.0
Wolke Janssens,BEL,DF,Sint-Truiden,29,14,9,882,9.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,100.0,0.09,0.09,0.0,0.0,0.0,5.0,6.0,0.0,3.0,22.0,24.0,1.0
Ardon Jashari,SUI,MF,Club Brugge,22,25,21,1877,20.9,2,4,6,2,0,0,3,0,0.1,0.19,0.29,0.1,0.29,32.0,38.0,14.0,36.8,1.24,0.46,0.08,0.21,0.0,30.0,43.0,1.0,51.0,25.0,26.0,0.0
Edisson Jordanov,BUL,DF,Westerlo,31,4,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,2.0,1.0,0.0
Simen Juklerod,NOR,"DF,FW",Sint-Truiden,30,5,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,0.0,0.0
