Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Samuel Amo-Ameyaw,ENG,"FW,MF",Southampton,18.0,0.3,0,1,0,0.0,3.21,0.0,0.0,0.0,0,0
Mathis Amougou,FRA,MF,Chelsea,18.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Joachim Andersen,DEN,DF,Fulham,28.0,29.7,0,20,6,30.0,0.67,0.2,0.0,0.0,0,0
Elliot Anderson,ENG,MF,Nottingham Forest,21.0,30.3,2,40,7,17.5,1.32,0.23,0.05,0.29,0,0
AndrГ©,BRA,MF,Wolves,23.0,27.5,0,10,1,10.0,0.36,0.04,0.0,0.0,0,0
Michail Antonio,JAM,FW,West Ham United,34.0,9.3,1,19,4,21.1,2.05,0.43,0.05,0.25,0,0
Antony,BRA,"FW,MF",Manchester Utd,24.0,1.6,0,6,3,50.0,3.83,1.91,0.0,0.0,0,0
Julian Araujo,MEX,DF,Bournemouth,22.0,5.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Cameron Archer,ENG,FW,Southampton,23.0,16.0,2,29,11,37.9,1.81,0.69,0.07,0.18,0,1
Alphonse Areola,FRA,GK,West Ham United,31.0,25.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Joe Aribo,NGA,MF,Southampton,28.0,22.4,3,17,7,41.2,0.76,0.31,0.18,0.43,0,0
Adam Armstrong,ENG,"FW,MF",Southampton,27.0,13.9,2,26,9,34.6,1.87,0.65,0.08,0.22,0,1
Harrison Armstrong,ENG,MF,Everton,17.0,0.5,0,1,0,0.0,1.87,0.0,0.0,0.0,0,0
Kepa Arrizabalaga,ESP,GK,Bournemouth,29.0,31.0,0,1,0,0.0,0.03,0.0,0.0,0.0,0,0
Marco Asensio,ESP,MF,Aston Villa,28.0,8.3,3,24,11,45.8,2.91,1.33,0.13,0.27,0,2
Brandon Austin,ENG,GK,Tottenham Hotspur,25.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Taiwo Awoniyi,NGA,FW,Nottingham Forest,26.0,4.6,1,10,4,40.0,2.16,0.87,0.1,0.25,0,0
Yasin Ayari,SWE,MF,Brighton,20.0,21.8,2,28,8,28.6,1.28,0.37,0.07,0.25,0,0
Jordan Ayew,GHA,MF,Leicester City,32.0,18.4,5,33,10,30.3,1.79,0.54,0.15,0.5,1,1
BenoГ®t Badiashile,FRA,DF,Chelsea,23.0,3.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Leon Bailey,JAM,MF,Aston Villa,26.0,12.7,1,28,6,21.4,2.21,0.47,0.04,0.17,0,0
Carlos Baleba,CMR,MF,Brighton,20.0,29.6,3,44,11,25.0,1.49,0.37,0.07,0.27,0,0
Ross Barkley,ENG,MF,Aston Villa,30.0,6.5,3,16,6,37.5,2.48,0.93,0.19,0.5,0,0
Harvey Barnes,ENG,"FW,MF",Newcastle United,26.0,19.5,9,63,21,33.3,3.23,1.08,0.14,0.43,0,0
Calvin Bassey,NGA,DF,Fulham,24.0,34.2,1,14,4,28.6,0.41,0.12,0.07,0.25,0,0
Altay BayД±ndД±r,TUR,GK,Manchester Utd,26.0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Jan Bednarek,POL,DF,Southampton,28.0,28.1,2,5,3,60.0,0.18,0.11,0.4,0.67,0,0
Armel Bella Kotchap,GER,DF,Southampton,22.0,3.7,0,1,0,0.0,0.27,0.0,0.0,0.0,0,0
Jean-Ricner Bellegarde,HAI,MF,Wolves,26.0,18.6,2,22,5,22.7,1.18,0.27,0.09,0.4,0,0
Rodrigo Bentancur,URU,MF,Tottenham Hotspur,27.0,18.3,2,22,6,27.3,1.2,0.33,0.09,0.33,0,0
Daniel Bentley,ENG,GK,Wolves,31.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Sander Berge,NOR,MF,Fulham,26.0,24.7,0,3,1,33.3,0.12,0.04,0.0,0.0,0,0
Lucas Bergvall,SWE,MF,Tottenham Hotspur,18.0,13.5,0,12,2,16.7,0.89,0.15,0.0,0.0,0,0
Victor Bernth Kristiansen,DEN,"DF,MF",Leicester City,21.0,27.6,0,3,0,0.0,0.11,0.0,0.0,0.0,0,0
Beto,GNB,FW,Everton,26.0,17.0,8,49,23,46.9,2.87,1.35,0.16,0.35,0,0
Philip Billing,DEN,MF,Bournemouth,28.0,2.0,0,5,1,20.0,2.45,0.49,0.0,0.0,0,0
Yves Bissouma,MLI,MF,Tottenham Hotspur,27.0,15.6,2,11,4,36.4,0.7,0.26,0.18,0.5,0,0
Oscar Bobb,NOR,"FW,MF",Manchester City,21.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Lamare Bogarde,NED,"DF,MF",Aston Villa,20.0,5.3,0,1,1,100.0,0.19,0.19,0.0,0.0,0,0
Willy Boly,CIV,DF,Nottingham Forest,33.0,1.7,0,1,1,100.0,0.6,0.6,0.0,0.0,0,0
Sven Botman,NED,DF,Newcastle United,24.0,4.6,0,5,2,40.0,1.09,0.44,0.0,0.0,0,0
Jarrod Bowen,ENG,"MF,FW",West Ham United,27.0,33.0,13,87,37,42.5,2.63,1.12,0.14,0.32,1,1
Conor Bradley,NIR,DF,Liverpool,21.0,8.4,0,10,3,30.0,1.19,0.36,0.0,0.0,0,0
Jarrad Branthwaite,ENG,DF,Everton,22.0,27.9,0,10,3,30.0,0.36,0.11,0.0,0.0,0,0
James Bree,ENG,"DF,MF",Southampton,26.0,11.9,0,4,1,25.0,0.33,0.08,0.0,0.0,0,0
Ben Brereton,CHI,"FW,MF",Southampton,25.0,5.0,0,11,1,9.1,2.2,0.2,0.0,0.0,0,0
Nathan Broadhead,WAL,MF,Ipswich Town,26.0,7.8,2,13,8,61.5,1.67,1.03,0.15,0.25,0,0
Armando Broja,ALB,FW,Everton,22.0,3.7,0,4,0,0.0,1.08,0.0,0.0,0.0,0,0
David Brooks,WAL,MF,Bournemouth,27.0,10.7,2,25,12,48.0,2.34,1.13,0.08,0.17,0,0
Emi BuendГ­a,ARG,"FW,MF",Aston Villa,27.0,1.1,0,5,0,0.0,4.59,0.0,0.0,0.0,0,0
Santiago Bueno,URU,DF,Wolves,25.0,18.7,0,6,3,50.0,0.32,0.16,0.0,0.0,0,0
Facundo Buonanotte,ARG,"MF,FW",Leicester City,19.0,16.9,5,36,12,33.3,2.13,0.71,0.14,0.42,0,0
Cameron Burgess,AUS,DF,Ipswich Town,28.0,17.1,0,10,3,30.0,0.58,0.18,0.0,0.0,0,0
Dan Burn,ENG,DF,Newcastle United,32.0,37.0,1,22,6,27.3,0.59,0.16,0.05,0.17,0,0
Wes Burns,WAL,MF,Ipswich Town,29.0,10.3,0,7,1,14.3,0.68,0.1,0.0,0.0,0,0
Nathan Butler-Oyedeji,ENG,FW,Arsenal,21.0,0.1,0,1,1,100.0,12.86,12.86,0.0,0.0,0,0
MoisГ©s Caicedo,ECU,"MF,DF",Chelsea,22.0,37.2,1,20,3,15.0,0.54,0.08,0.05,0.33,0,0
Tom Cairney,SCO,MF,Fulham,33.0,7.0,2,11,4,36.4,1.58,0.57,0.18,0.5,0,0
Jens Cajuste,SWE,MF,Ipswich Town,24.0,21.8,1,12,1,8.3,0.55,0.05,0.08,1.0,0,0
Riccardo Calafiori,ITA,DF,Arsenal,22.0,10.9,2,10,6,60.0,0.92,0.55,0.2,0.33,0,0
Dominic Calvert-Lewin,ENG,FW,Everton,27.0,17.9,3,50,20,40.0,2.8,1.12,0.06,0.15,0,0
Diego Carlos,BRA,DF,Aston Villa,31.0,9.2,0,4,1,25.0,0.43,0.11,0.0,0.0,0,0
Fabio Carvalho,POR,"FW,MF",Brentford,21.0,5.1,2,12,6,50.0,2.37,1.19,0.17,0.33,0,0
Casemiro,BRA,MF,Manchester Utd,32.0,16.6,1,32,10,31.3,1.93,0.6,0.03,0.1,0,0
Kaelan Casey,ENG,DF,West Ham United,19.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Matty Cash,POL,DF,Aston Villa,26.0,23.0,1,13,6,46.2,0.57,0.26,0.08,0.17,0,0
Eiran Cashin,IRL,DF,Brighton,22.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Timothy Castagne,BEL,"DF,MF",Fulham,28.0,18.3,0,8,3,37.5,0.44,0.16,0.0,0.0,0,0
Trevoh Chalobah,ENG,DF,Chelsea,25.0,21.9,3,18,7,38.89,0.82,0.32,0.17,0.43,0,0
Conor Chaplin,ENG,"MF,FW",Ipswich Town,27.0,9.5,1,16,4,25.0,1.68,0.42,0.06,0.25,0,0
Youssef Chermiti,POR,FW,Everton,20.0,0.5,0,3,1,33.3,6.0,2.0,0.0,0.0,0,0
Federico Chiesa,ITA,FW,Liverpool,26.0,1.2,0,5,2,40.0,4.17,1.67,0.0,0.0,0,0
Ben Chilwell,ENG,MF,Crystal Palace,27.0,2.9,1,5,3,60.0,1.74,1.04,0.2,0.33,0,0
Chiquinho,POR,MF,Wolves,24.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Hamza Choudhury,BAN,MF,Leicester City,26.0,1.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Ryan Christie,SCO,MF,Bournemouth,29.0,23.5,2,33,12,36.4,1.4,0.51,0.06,0.17,0,0
Harry Clarke,ENG,DF,Ipswich Town,23.0,4.2,0,1,1,100.0,0.24,0.24,0.0,0.0,0,0
Jack Clarke,ENG,MF,Ipswich Town,23.0,13.1,0,17,2,11.8,1.3,0.15,0.0,0.0,0,0
Nathaniel Clyne,ENG,"DF,MF",Crystal Palace,33.0,5.4,0,2,0,0.0,0.37,0.0,0.0,0.0,0,0
Conor Coady,ENG,DF,Leicester City,31.0,19.0,1,2,2,100.0,0.11,0.11,0.5,0.5,0,0
SГ©amus Coleman,IRL,DF,Everton,35.0,2.4,0,1,1,100.0,0.42,0.42,0.0,0.0,0,0
Nathan Collins,IRL,DF,Brentford,23.0,38.0,2,17,6,35.3,0.45,0.16,0.12,0.33,0,0
Toby Collyer,ENG,MF,Manchester Utd,20.0,2.0,0,1,0,0.0,0.5,0.0,0.0,0.0,0,0
Levi Colwill,ENG,DF,Chelsea,21.0,35.0,2,17,4,23.5,0.49,0.11,0.12,0.5,0,0
Lewis Cook,ENG,"MF,DF",Bournemouth,27.0,33.1,1,14,4,28.6,0.42,0.12,0.07,0.25,0,0
Maxwel Cornet,CIV,MF,Southampton,27.0,0.8,0,1,0,0.0,1.25,0.0,0.0,0.0,0,0
VladimГ­r Coufal,CZE,"DF,MF",West Ham United,31.0,11.9,0,7,2,28.6,0.59,0.17,0.0,0.0,0,0
Woyo Coulibaly,MLI,DF,Leicester City,25.0,1.2,0,2,1,50.0,1.65,0.83,0.0,0.0,0,0
Aaron Cresswell,ENG,DF,West Ham United,34.0,9.2,0,5,0,0.0,0.55,0.0,0.0,0.0,0,0
Marc Cucurella,ESP,DF,Chelsea,26.0,33.2,5,24,12,50.0,0.72,0.36,0.21,0.42,0,0
Jorge Cuenca,ESP,DF,Fulham,24.0,3.9,0,1,0,0.0,0.26,0.0,0.0,0.0,0,0
Matheus Cunha,BRA,MF,Wolves,25.0,28.9,15,110,44,40.0,3.81,1.52,0.14,0.34,0,0
Patson Daka,ZAM,"MF,FW",Leicester City,25.0,8.2,1,15,4,26.7,1.83,0.49,0.07,0.25,0,0
Diogo Dalot,POR,"MF,DF",Manchester Utd,25.0,31.3,0,24,5,20.8,0.77,0.16,0.0,0.0,0,0
Mikkel Damsgaard,DEN,MF,Brentford,24.0,32.3,2,35,7,20.0,1.08,0.22,0.06,0.29,0,0
Danilo,BRA,MF,Nottingham Forest,23.0,3.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
