Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Thom Haye,IDN,MF,Almere City,29.0,22.7,7,0,0,17,10,0,157,32,38,,,0
Jordan Henderson,ENG,MF,Ajax,34.0,20.8,6,0,0,12,6,1,55,22,18,,,0
Lucas Vennegoor of Hesselink,NED,FW,Twente,18.0,0.8,0,0,0,3,3,0,0,0,1,,,0
Mees Hilgers,IDN,DF,Twente,23.0,20.8,5,0,0,38,17,1,1,16,37,,,0
Mees Hoedemakers,NED,MF,NEC Nijmegen,26.0,19.9,1,0,0,17,18,0,5,25,37,,,0
Justin Hoogma,NED,DF,Heracles Almelo,26.0,2.8,0,0,0,4,1,1,0,1,4,,,0
Sydney van Hooijdonk,NED,FW,NAC Breda,24.0,11.0,0,0,0,19,13,2,7,0,7,,,0
Nikolai Hopland,NOR,DF,Heerenveen,20.0,27.4,0,0,0,20,18,0,2,24,23,,,1
Siebe Horemans,BEL,DF,Utrecht,26.0,26.2,1,0,0,12,5,0,78,48,50,,,0
Jizz Hornkamp,NED,"FW,MF",Heracles Almelo,26.0,17.6,5,0,0,34,12,4,10,3,6,,,0
Jeroen Houwen,NED,GK,RKC Waalwijk,28.0,24.0,0,0,0,0,3,0,0,0,0,,,0
Johan Hove,NOR,MF,Groningen,23.0,19.4,0,0,0,10,14,0,27,19,13,,,0
JoГ«l Ideho,NED,FW,Sparta Rotterdam,21.0,1.9,0,0,0,5,5,1,6,2,5,,,0
Younes Taha El Idrissi,MAR,MF,Twente,21.0,2.4,1,0,0,6,5,0,15,2,3,,,0
Mohammed Ihattaren,NED,MF,RKC Waalwijk,22.0,17.1,1,0,0,1,16,2,119,8,14,,,0
Hwang In-beom,KOR,MF,Feyenoord,27.0,18.0,5,0,0,17,22,1,47,17,21,,,0
Zidane Iqbal,IRQ,MF,Utrecht,21.0,16.1,3,0,0,9,23,0,10,17,14,,,0
Luka IvanuЕЎec,CRO,"MF,FW",Feyenoord,25.0,5.4,0,0,0,3,8,0,12,1,3,,,0
Joey Jacobs,NED,DF,Almere City,24.0,13.0,1,1,0,14,2,0,4,23,14,,,0
Alireza Jahanbakhsh,IRN,"MF,FW",Heerenveen,30.0,16.1,3,0,0,21,21,4,55,15,16,,,0
Alexander Jakobsen,EGY,"DF,MF",RKC Waalwijk,30.0,0.8,0,0,0,2,1,1,5,0,2,,,0
Dean James,IDN,DF,Go Ahead Eagles,24.0,18.9,3,0,0,8,10,1,125,14,12,,,0
