Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Chumbinho,BRA,MF,RB Bragantino,20,0.1,0,0,0,1,1,0,0,0,0,,,0
Cicinho,BUL,DF,Bahia,35,0.9,1,0,0,3,2,0,2,0,1,,,0
JosГ© Cifuentes,ECU,MF,Cruzeiro,24,0.8,0,0,0,1,0,0,0,0,2,,,0
Claudinho,BRA,DF,CriciГєma,23,22.7,3,1,0,15,8,4,62,28,38,,,0
Mateus Claus,BRA,GK,Juventude,29,4.5,3,0,0,0,1,0,0,0,0,,,0
Clayson,BRA,"MF,FW",CuiabГЎ,28,22.7,6,0,0,20,42,5,88,6,9,,,0
Clayton,BRA,DF,Internacional,23,5.9,1,0,0,7,1,0,0,6,3,,,0
Clayton,BRA,FW,Vasco da Gama,25,1.6,0,0,0,7,1,3,2,1,3,,,0
Cleiton,BRA,DF,Flamengo,20,1.1,0,0,0,2,0,0,1,0,2,,,0
Mateus CocГЈo,BRA,MF,Vasco da Gama,21,24.0,9,1,0,42,32,2,11,38,47,,,0
Robert ConceiГ§ГЈo,BRA,MF,AtlГ©tico Mineiro,20,0.2,0,0,0,1,1,0,2,0,0,,,0
Igor Coronado,BRA,"MF,FW",Corinthians,31,15.3,6,0,0,24,32,0,106,10,19,,,0
Diego Costa,ESP,FW,GrГЄmio,35,5.3,4,1,0,7,12,3,3,1,1,,,0
Douglas Costa,BRA,MF,Fluminense,33,3.2,1,0,0,4,3,0,25,2,6,,,0
Philippe Coutinho,BRA,"MF,FW",Vasco da Gama,31,7.4,0,0,0,10,14,0,38,4,5,,,0
Franco Cristaldo,ARG,"MF,FW",GrГЄmio,27,23.7,1,0,0,13,39,3,146,13,25,,,0
Alejo Cruz,URU,"MF,DF",AtlГ©tico Goianiense,23,24.0,4,0,0,17,30,2,177,21,22,,,0
JoГЈo Cruz,BRA,"MF,FW",Athletico Paranaense,17,9.3,2,0,0,14,5,0,59,5,4,,,0
TomГЎs Cuello,ARG,MF,Athletico Paranaense,23,22.3,3,0,0,28,41,7,114,20,22,,,0
VГ­ctor Cuesta,ARG,DF,Bahia,35,5.6,3,0,0,7,5,1,1,5,10,,,0
Cuiabano,BRA,DF,Botafogo (RJ),20,18.2,5,0,0,32,29,0,115,26,34,,,0
Lucas Cunha,BRA,DF,RB Bragantino,27,8.7,2,1,0,5,4,0,0,6,7,,,0
Matheus Cunha,BRA,GK,Flamengo,22,3.0,0,0,0,0,0,0,0,0,0,,,0
Danielzinho,BRA,MF,AtlГ©tico Goianiense,28,1.1,0,0,0,2,2,0,6,0,1,,,0
