Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Kike PГ©rez,ESP,MF,Valladolid,27,13.2,2,20,5,25.0,1.51,0.38,0.1,0.4,0,0
Luis PГ©rez,ESP,DF,Valladolid,29,28.4,0,5,2,40.0,0.18,0.07,0.0,0.0,0,0
Romain Perraud,FRA,DF,Real Betis,26,22.2,2,20,5,25.0,0.9,0.22,0.1,0.4,0,0
ValentГ­n Pezzolesi,ESP,DF,Las Palmas,17,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Pica,ESP,DF,AlavГ©s,22,5.5,0,4,1,25.0,0.72,0.18,0.0,0.0,0,0
Yeremi Pino,ESP,MF,Villarreal,21,21.5,4,29,9,31.0,1.35,0.42,0.14,0.44,0,0
Portu,ESP,"FW,MF",Girona,32,8.7,1,8,4,50.0,0.92,0.46,0.13,0.25,0,0
BeГ±at Prados,ESP,MF,Athletic Club,23,19.1,1,16,5,31.3,0.84,0.26,0.06,0.2,0,0
AbdГіn Prats,ESP,"FW,MF",Mallorca,31,5.1,2,14,6,42.9,2.76,1.18,0.07,0.17,1,1
Javi Puado,ESP,"MF,FW",Espanyol,26,33.0,12,71,24,33.8,2.15,0.73,0.1,0.29,5,5
Dani Raba,ESP,"MF,FW",LeganГ©s,28,20.9,8,44,17,38.6,2.11,0.81,0.09,0.24,4,5
Arnau RafГєs,ESP,GK,Valladolid,21,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Antonio Raillo,ESP,DF,Mallorca,32,35.6,2,35,8,22.9,0.98,0.22,0.06,0.25,0,0
Benito RamГ­rez,ESP,"MF,DF",Las Palmas,29,5.3,0,10,1,10.0,1.88,0.19,0.0,0.0,0,0
Sandro RamГ­rez,ESP,"MF,FW",Las Palmas,29,22.6,9,52,21,40.4,2.3,0.93,0.15,0.38,1,1
Jacobo RamГіn,ESP,DF,Real Madrid,19,2.3,1,2,1,50.0,0.88,0.44,0.5,1.0,0,0
Raphinha,BRA,"MF,FW",Barcelona,27,31.5,18,114,43,37.7,3.61,1.36,0.14,0.37,2,2
Andrei Ratiu,ROU,"DF,MF",Rayo Vallecano,26,34.1,2,31,8,25.8,0.91,0.23,0.06,0.25,0,0
RaГєl,ESP,FW,Osasuna,23,8.3,4,25,12,48.0,3.0,1.44,0.16,0.33,0,0
Abde Rebbach,ALG,"MF,FW",AlavГ©s,25,4.3,0,6,1,16.7,1.4,0.23,0.0,0.0,0,0
ГЃlex Remiro,ESP,GK,Real Sociedad,29,36.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Daniel Requena,ESP,MF,Villarreal,20,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Diego Rico,ESP,DF,Getafe,31,31.3,0,16,3,18.8,0.51,0.1,0.0,0.0,0,0
Luis Rioja,ESP,MF,Valencia,30,31.8,5,30,14,46.67,0.94,0.44,0.17,0.36,2,2
Rodrigo Riquelme,ESP,"MF,DF",AtlГ©tico Madrid,24,5.7,0,14,4,28.6,2.44,0.7,0.0,0.0,0,0
Alberto Risco,ESP,MF,Getafe,18,0.8,0,4,1,25.0,5.22,1.3,0.0,0.0,0,0
Mihailo RistiД‡,SRB,"MF,DF",Celta Vigo,28,4.8,0,2,0,0.0,0.42,0.0,0.0,0.0,0,0
Gorka Rivera Alonso,ESP,DF,Getafe,19,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Marc Roca,ESP,MF,Real Betis,27,10.1,2,12,4,33.3,1.19,0.4,0.17,0.5,0,0
Rodri,ESP,MF,Real Betis,24,1.3,0,2,2,100.0,1.53,1.53,0.0,0.0,0,0
Adrian Rodriguez,ESP,GK,AlavГ©s,23,1.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
