Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Honest Ahanor,ITA,"DF,MF",Genoa,16,6,3,270,3.0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,3,3,7,0.0,0.0,0.0,0.0,0.0,0.17,0.04,0.21,0.17,0.21,5.0,0,2,8,0,4,1,4,0,3,1,33.3,1.0,0.33,0.0,0.0
Junior Ajayi,CIV,FW,Hellas Verona,19,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,31,14,12,966,10.7,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.6,21,19,22,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,0.5,0,24,18,0,6,11,19,0,4,2,50.0,0.37,0.19,0.0,0.0
David Akpan Ankeye,NGA,"FW,MF",Genoa,22,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0,3,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Faride Alidou,GER,"FW,MF",Hellas Verona,23,3,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,1.0,0,1,0,0,3,1,0,0,1,0,0.0,1.27,0.0,0.0,0.0
Dele Alli,ENG,MF,Como,28,1,0,9,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Pontus Almqvist,SWE,"FW,MF",Parma,25,29,10,1112,12.4,1,1,2,1,0,0,5,0,2.1,2.1,1.3,3.5,42,12,85,0.08,0.08,0.16,0.08,0.16,0.17,0.11,0.28,0.17,0.28,2.5,0,15,15,2,11,20,14,0,26,10,38.5,2.1,0.81,0.04,0.1
Giorgio Altare,ITA,DF,Venezia,25,12,8,753,8.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,20,5,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,1.0,0,10,2,0,7,18,12,1,3,1,33.3,0.36,0.12,0.0,0.0
Sofyan Amrabat,MAR,MF,Fiorentina,27,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,17.0,0,4,1,0,3,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0
Angelino,ESP,DF,Roma,27,38,36,3177,35.3,2,1,3,2,0,0,1,0,1.4,1.4,3.7,5.1,66,172,172,0.06,0.03,0.08,0.06,0.08,0.04,0.1,0.15,0.04,0.15,20.0,0,32,33,5,119,28,24,0,24,6,25.0,0.68,0.17,0.08,0.33
Lorenzo Anghele,ITA,FW,Juventus,19,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Faustino Anjorin,ENG,MF,Empoli,22,22,14,1114,12.4,2,3,5,2,0,0,3,0,0.9,0.9,1.7,2.5,28,55,35,0.16,0.24,0.4,0.16,0.4,0.07,0.13,0.21,0.07,0.21,6.0,0,24,19,0,17,13,15,0,23,7,30.4,1.86,0.57,0.09,0.29
Marko Arnautovic,AUT,FW,Inter,35,18,5,549,6.1,4,2,6,4,0,0,1,0,3.3,3.3,1.2,4.4,4,16,61,0.66,0.33,0.98,0.66,0.98,0.53,0.19,0.73,0.53,0.73,3.0,0,4,6,8,5,1,6,0,14,6,42.9,2.3,0.98,0.29,0.67
Kristjan Asllani,ALB,MF,Inter,22,22,10,988,11.0,2,2,4,0,2,2,4,0,2.5,0.9,1.9,2.8,7,55,20,0.18,0.18,0.36,0.0,0.18,0.22,0.17,0.39,0.08,0.25,13.0,0,9,19,0,41,8,4,0,16,5,31.3,1.46,0.46,0.0,0.0
