Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Artem Dovbyk,UKR,FW,Roma,27,26.9,0,0,0,30,16,22,1,2,1,,,0
Ondrej Duda,SVK,MF,Hellas Verona,29,26.6,12,1,1,51,57,0,89,28,27,,,0
Denzel Dumfries,NED,MF,Inter,28,21.7,4,0,0,53,18,6,56,7,19,,,0
Alfred Duncan,GHA,MF,Venezia,31,10.6,2,0,0,22,11,0,17,7,9,,,0
Paulo Dybala,ARG,"FW,MF",Roma,30,15.7,2,0,0,6,60,6,62,2,7,,,0
Enzo Ebosse,CMR,DF,Udinese,25,1.0,1,0,0,1,0,0,0,1,0,,,0
Tyronne Ebuehi,NGA,DF,Empoli,28,0.8,0,0,0,0,2,0,2,2,2,,,0
Г‰derson,BRA,MF,Atalanta,25,32.0,5,1,1,31,53,0,23,33,33,,,0
Kingsley Ehizibue,NED,"MF,DF",Udinese,29,27.8,5,0,0,33,33,5,60,23,35,,,0
Jeff Ekhator,ITA,"FW,MF",Genoa,17,8.5,1,0,0,15,13,3,10,2,4,,,0
Jurgen Ekkelenkamp,NED,MF,Udinese,24,21.0,2,0,0,29,14,2,13,12,25,,,0
Emmanuel Ekong,SWE,FW,Empoli,22,2.1,1,0,0,3,5,1,0,1,3,,,0
Caleb Ekuban,GHA,FW,Genoa,30,6.2,1,0,0,15,9,5,3,1,3,,,0
Mikael Ellertsson,ISL,MF,Venezia,22,27.4,2,0,0,22,43,2,28,15,27,,,0
Elif Elmas,MKD,"MF,FW",Torino,24,11.3,0,0,0,13,14,2,23,4,8,,,0
Emerson,BRA,DF,Milan,25,15.3,5,0,0,34,32,0,45,15,29,,,0
Yannik Engelhardt,GER,"MF,DF",Como,23,12.9,4,0,0,22,20,1,1,13,14,,,0
Martin Erlic,CRO,DF,Bologna,26,3.7,0,0,0,7,7,0,0,2,0,,,0
Sebastiano Esposito,ITA,"FW,MF",Empoli,22,25.9,1,0,0,47,56,10,55,11,29,,,0
Estanis,ESP,FW,Bologna,20,0.1,0,0,0,1,0,0,0,0,0,,,0
Nahuel EstГ©vez,ARG,MF,Parma,28,7.3,3,0,0,9,9,0,15,3,7,,,0
Giovanni Fabbian,ITA,MF,Bologna,21,11.4,2,0,0,21,22,1,8,2,6,,,0
Alieu Fadera,GAM,MF,Como,22,18.3,2,1,0,40,50,14,39,12,47,,,0
NicolГІ Fagioli,ITA,MF,Juventus,23,17.0,4,0,0,19,19,0,40,7,20,,,0
Wladimiro Falcone,ITA,GK,Lecce,29,38.0,2,0,0,1,11,0,0,1,0,,,0
Davide Faraoni,ITA,"MF,DF",Hellas Verona,32,2.9,1,0,0,7,1,2,12,2,9,,,0
Jacopo Fazzini,ITA,MF,Empoli,21,15.4,1,1,0,23,32,4,32,7,19,,,0
Mattia Felici,ITA,MF,Cagliari,23,10.3,1,0,0,18,17,4,25,5,13,,,0
JoГЈo FГ©lix,POR,MF,Milan,24,8.4,3,0,0,12,30,2,5,1,6,,,0
Lewis Ferguson,SCO,MF,Bologna,24,10.9,0,0,0,26,20,1,17,4,15,,,0
Daniel Fila,CZE,FW,Venezia,21,5.5,3,1,1,13,7,3,0,0,1,,,0
Alessandro Florenzi,ITA,"DF,FW",Milan,33,0.1,0,0,0,0,0,0,1,0,0,,,0
Youssouf Fofana,FRA,MF,Milan,25,27.8,5,0,0,28,17,0,10,17,34,,,0
Michael Folorunsho,ITA,"FW,MF",Napoli,26,7.6000000000000005,5,0,0,18,24,0,22,4,15,,,0
Omari Forson,ENG,FW,Monza,20,2.5,0,0,0,2,2,1,9,1,3,,,0
Davide Frattesi,ITA,MF,Inter,24,13.6,1,0,0,11,32,2,8,4,11,,,0
Morten Frendrup,DEN,MF,Genoa,23,34.5,5,0,0,51,30,1,3,46,60,,,1
Martin Frese,DEN,"DF,MF",Hellas Verona,26,6.1,0,0,0,9,9,0,10,8,11,,,0
Remo Freuler,SUI,MF,Bologna,32,35.6,6,0,0,47,18,1,20,41,40,,,0
Matteo Gabbia,ITA,DF,Milan,24,23.9,4,0,0,20,6,1,2,16,15,,,0
Tommaso Gabellini,ITA,FW,Torino,17,0.1,0,0,0,0,0,0,0,0,0,,,0
Tiago Gabriel,POR,DF,Lecce,19,1.1,0,0,0,0,0,0,0,0,0,,,0
Alessandro Gabrielloni,ITA,FW,Como,30,1.6,1,0,0,6,4,1,1,0,0,,,0
Gianluca Gaetano,ITA,"MF,FW",Cagliari,24,11.2,0,0,0,16,13,4,23,7,8,,,0
Roberto Gagliardini,ITA,MF,Monza,30,2.0,1,0,0,6,7,0,1,2,1,,,0
Antonino Gallo,ITA,DF,Lecce,24,29.0,3,1,0,12,15,3,116,21,44,,,2
SilvГЁre Ganvoula M'Boussy,CGO,FW,Monza,28,3.6,0,0,0,4,8,1,0,1,0,,,0
Federico Gatti,ITA,DF,Juventus,26,24.4,2,0,0,20,19,1,1,16,23,,,0
David de Gea,ESP,GK,Fiorentina,33,35.0,1,0,0,0,2,0,0,0,0,,,0
Valentin Gendrey,FRA,DF,Lecce,24,2.0,0,0,0,1,2,0,3,2,2,,,0
