Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Endrick,BRA,FW,Real Madrid,18,4.0,1,0,0,10,9,2,2,4,2,,,0
Alfonso Espino,URU,DF,Rayo Vallecano,32,9.3,4,0,0,18,15,0,25,12,24,,,0
Dario Essugo,POR,MF,Las Palmas,19,21.5,11,2,2,37,30,0,1,42,44,,,0
Etienne Eto'o,CMR,FW,Rayo Vallecano,21,0.4,0,0,0,0,0,1,0,0,0,,,0
Karl Etta Eyong,CMR,FW,Villarreal,20,0.4,0,0,0,0,1,0,0,0,0,,,0
Edu ExpГіsito,ESP,MF,Espanyol,27,11.6,3,0,0,14,22,2,66,16,13,,,0
Abde Ezzalzouli,MAR,MF,Real Betis,22,22.0,2,0,0,23,38,4,49,9,23,,,0
Ansu Fati,ESP,MF,Barcelona,21,2.6,1,0,0,2,2,2,0,1,1,,,0
Nabil Fekir,FRA,MF,Real Betis,31,2.0,0,0,0,3,7,0,9,0,2,,,0
Kiko FemenГ­a,ESP,DF,Villarreal,33,24.7,7,0,0,21,13,1,46,40,32,,,0
Aitor FernГЎndez,ESP,GK,Osasuna,33,1.0,0,0,0,0,0,0,0,0,0,,,0
ГЃlvaro FernГЎndez,ESP,GK,Sevilla,26,8.3,2,0,0,0,2,0,0,0,0,,,0
Pelayo Fernandez,ESP,DF,Rayo Vallecano,21,1.1,1,0,0,2,0,0,0,2,0,,,0
Roberto FГ©rnandez,ESP,FW,Espanyol,22,16.6,1,0,0,28,25,9,2,3,4,,,0
Valery FernГЎndez,ESP,MF,Mallorca,24,3.4,1,0,0,3,1,1,4,0,7,,,0
AndrГ© Ferreira,POR,GK,Valladolid,28,6.0,0,0,0,0,0,0,0,0,0,,,0
Mateo Flores,ESP,MF,Real Betis,20,1.7,1,0,0,4,1,0,1,2,2,,,0
Pablo Fornals,ESP,MF,Real Betis,28,20.3,2,0,0,12,14,3,56,25,13,,,0
HГ©ctor Fort,ESP,DF,Barcelona,17,6.5,2,0,0,8,1,0,12,9,8,,,0
Dimitri Foulquier,FRA,DF,Valencia,31,25.5,6,0,0,24,31,1,57,17,31,,,0
Juan Foyth,ARG,DF,Villarreal,26,16.9,4,0,0,16,5,0,4,19,14,,,0
Fran,ESP,GK,Real Madrid,19,1.0,0,0,0,0,0,0,0,0,0,,,0
Alejandro FrancГ©s,ESP,DF,Girona,21,13.0,2,0,0,20,14,1,26,18,24,,,0
Enric Franquesa,ESP,"MF,DF",LeganГ©s,27,6.8,1,0,0,8,6,0,16,4,9,,,0
Jorge de Frutos,ESP,"MF,FW",Rayo Vallecano,27,27.7,3,1,0,41,33,9,68,18,20,,,0
DarГ­o Fuentes,ESP,DF,Sevilla,21,0.1,1,0,0,0,0,0,0,0,0,,,0
Manuel Fuster,ESP,"MF,FW",Las Palmas,26,11.1,2,0,0,12,37,1,66,4,11,,,0
Javi GalГЎn,ESP,DF,AtlГ©tico Madrid,29,19.8,8,0,0,38,35,4,57,11,32,,,0
IГ±igo Ruiz de Galarreta,ESP,MF,Athletic Club,30,16.4,5,0,0,43,17,1,28,14,22,,,0
Conor Gallagher,ENG,MF,AtlГ©tico Madrid,24,18.1,2,0,0,32,39,1,13,20,32,,,0
Facundo GarcГ©s,MAS,DF,AlavГ©s,24,7.5,2,0,0,7,2,0,1,6,2,,,0
ГЃlvaro GarcГ­a,ESP,"MF,FW",Rayo Vallecano,31,28.4,4,0,0,18,19,16,108,35,23,,,0
Eric GarcГ­a,ESP,"DF,MF",Barcelona,23,17.4,4,0,0,20,8,0,6,18,21,,,0
Fran Garcia,ESP,DF,Real Madrid,24,24.1,0,0,0,13,22,4,66,29,36,,,0
Gonzalo GarcГ­a,ESP,MF,Real Madrid,20,0.6,0,0,0,0,0,0,0,0,0,,,0
Joan GarcГ­a,ESP,GK,Espanyol,23,38.0,2,0,0,0,7,0,0,0,1,,,0
Pablo Garcia,ESP,FW,Real Betis,18,0.4,0,0,0,0,0,1,2,0,0,,,0
RubГ©n GarcГ­a,ESP,"FW,MF",Osasuna,31,26.8,2,0,0,36,31,10,135,17,31,,,0
Unai GarcГ­a,ESP,DF,Osasuna,32,0.7,0,0,0,3,3,0,0,0,0,,,0
Yarek Gasiorowski,ESP,DF,Valencia,19,10.5,1,0,0,5,2,0,3,26,16,,,0
Gavi,ESP,MF,Barcelona,19,12.1,4,0,0,38,27,1,8,10,23,,,0
Paulo Gazzaniga,ARG,GK,Girona,32,35.5,4,0,0,1,3,0,0,0,1,,,0
Bryan Gil,ESP,"MF,FW",Girona,23,19.1,4,0,0,22,40,4,78,12,20,,,0
Dani GГіmez,ESP,FW,Valencia,26,5.9,0,0,0,7,8,10,1,3,1,,,0
Moi GГіmez,ESP,"MF,FW",Osasuna,30,8.8,1,0,0,14,6,1,26,7,9,,,1
Sergi GГіmez,ESP,DF,Espanyol,32,7.4,1,0,0,6,1,0,1,7,5,,,0
Sergio GГіmez,ESP,MF,Real Sociedad,23,30.4,4,0,0,29,16,9,230,19,39,,,0
Unai GГіmez,ESP,"MF,FW",Athletic Club,21,14.3,1,0,0,11,18,0,23,2,8,,,0
