Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKsv%,Value,league
Geronimo Rulli,ARG,GK,Marseille,32,34,34,3060,34.0,47,1.38,130,89,66.2,20,5,9,5,14.7,6,3,3,0,50.0,8.0,FR1
Mathew Ryan,AUS,GK,Lens,32,14,14,1260,14.0,17,1.21,57,43,73.7,8,1,5,6,42.9,3,2,1,0,33.3,2.5,FR1
Matvei Safonov,RUS,GK,Paris Saint-Germain,25,10,9,879,9.8,9,0.92,24,17,70.8,7,1,1,3,33.3,2,2,0,0,0.0,20.0,FR1
Brice Samba,FRA,GK,Lens,30,32,32,2879,32.0,41,1.28,132,98,74.24,13,6,13,12,0.38,7,5,2,0,28.57,12.0,FR1
Arnau Tenas,ESP,GK,Paris Saint-Germain,23,1,1,90,1.0,1,1.0,4,3,75.0,1,0,0,0,0.0,0,0,0,0,0.0,3.0,FR1
Melvin Zinga,FRA,GK,Angers,22,1,1,90,1.0,2,2.0,3,2,66.7,0,0,1,0,0.0,1,1,0,0,0.0,0.3,FR1
Emil Audero,IDN,GK,Como,27,8,8,720,8.0,18,2.25,31,17,54.8,2,2,4,0,0.0,4,4,0,0,0.0,3.2,IT1
Jean Butez,FRA,GK,Como,29,19,18,1666,18.5,20,1.08,67,49,73.1,8,4,6,5,27.8,2,2,0,0,0.0,3.5,IT1
Elia Caprile,ITA,GK,Cagliari,22,22,21,1945,21.6,23,1.06,75,53,70.67,8,4,9,8,0.38,1,1,0,0,0.0,9.0,IT1
Marco Carnesecchi,ITA,GK,Atalanta,24,34,34,3060,34.0,34,1.0,130,98,75.4,19,7,8,13,38.2,2,2,0,0,0.0,25.0,IT1
Leandro Chichizola,ARG,GK,Parma,34,1,1,90,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,0.0,0.25,IT1
Giuseppe Ciocci,ITA,GK,Cagliari,22,1,0,9,0.1,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.1,IT1
Michele Di Gregorio,ITA,GK,Juventus,27,33,33,2970,33.0,32,0.97,99,71,72.7,16,13,4,14,42.4,5,5,0,0,0.0,18.0,IT1
Wladimiro Falcone,ITA,GK,Lecce,29,38,38,3420,38.0,58,1.53,177,127,71.8,8,10,20,9,23.7,10,8,1,1,11.1,3.5,IT1
David de Gea,ESP,GK,Fiorentina,33,35,35,3150,35.0,38,1.09,131,96,71.8,19,5,11,11,31.4,3,1,2,0,66.7,5.0,IT1
Pierluigi Gollini,ITA,GK,Genoa,29,7,7,630,7.0,15,2.14,28,17,57.1,1,2,4,1,14.3,4,3,1,0,25.0,1.0,IT1
Jesse Joronen,FIN,GK,Venezia,31,8,7,703,7.8,15,1.92,39,27,69.2,1,1,5,2,28.6,3,3,0,0,0.0,0.5,IT1
Nicola Leali,ITA,GK,Genoa,31,29,29,2610,29.0,31,1.07,112,83,75.0,8,10,11,10,34.5,4,3,1,0,25.0,1.5,IT1
