Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Stefan LonДЌar,MNE,MF,FK Akron Tolyatti,28,26.3,4,0,0,28,7,1,28,24,37,,,0
Lucas Lovat,BRA,DF,Akhmat Grozny,27,1.7,2,0,0,1,1,0,17,1,2,,,0
Matvei Lukin,RUS,DF,CSKA Moscow,20,6.7,2,0,0,6,1,0,0,7,6,,,0
Vadim Lukyanov,RUS,GK,Nizhny Novgorod,21,2.0,0,0,0,0,0,0,0,0,0,,,0
Mauro Luna Diale,ARG,"FW,MF",Akhmat Grozny,25,6.2,1,0,0,8,14,1,9,2,5,,,0
Diego Luna,VEN,DF,FC Khimki,24,1.0,0,0,0,0,0,1,1,0,5,,,0
Andrey Lunyov,RUS,GK,Dynamo Moscow,32,25.9,2,0,0,1,4,0,0,0,0,,,0
Stanislav Magkeev,RUS,DF,Nizhny Novgorod,25,11.4,0,0,0,12,9,0,3,18,13,,,0
Butta Magomedov,RUS,"MF,FW",FC Khimki,26,7.4,0,1,0,3,7,0,18,5,6,,,0
Razhab Magomedov,RUS,"FW,MF",D'mo Makhachkala,23,11.3,1,0,0,16,6,10,78,1,6,,,0
Timur Magomedov,RUS,GK,D'mo Makhachkala,22,10.0,0,0,0,0,6,0,0,0,0,,,0
Mamadou Maiga,MLI,MF,Nizhny Novgorod,29,7.5,1,0,0,15,7,0,0,12,13,,,0
Milan MajstoroviД‡,SRB,DF,Dynamo Moscow,19,9.0,1,0,0,8,7,0,0,12,21,,,0
Denis Makarov,RUS,"FW,MF",Dynamo Moscow,26,0.9,1,0,0,4,1,1,5,2,3,,,0
