Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
El Chadaille Bitshiabu,FRA,DF,RB Leipzig,19,21,13,1130,12.6,0,0,0,0,0,0,2,1,0.3,0.3,0.4,0.7,4,69,2,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,18.0,0,8,2,0,4,13,19,0,5,3,60.0,0.4,0.24,0.0,0.0
Fares Chaibi,ALG,"MF,FW",Eint Frankfurt,21,26,10,1013,11.3,1,3,4,1,0,0,2,0,2.6,2.6,2.9,5.5,20,52,73,0.09,0.27,0.36,0.09,0.36,0.23,0.26,0.49,0.23,0.49,9.0,0,5,7,1,72,10,10,0,25,6,24.0,2.22,0.53,0.04,0.17
Timothy Chandler,USA,DF,Eint Frankfurt,34,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0,0,2,0,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Anrie Chase,JPN,DF,Stuttgart,20,12,7,734,8.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,6,28,2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,3.0,0,12,2,0,4,9,5,0,5,0,0.0,0.61,0.0,0.0,0.0
Arthur Chaves,BRA,DF,Hoffenheim,23,26,24,2185,24.3,1,0,1,1,0,0,8,0,0.8,0.8,0.1,0.9,10,57,13,0.04,0.0,0.04,0.04,0.04,0.03,0.0,0.04,0.03,0.04,5.0,0,38,19,1,8,38,35,0,11,2,18.2,0.45,0.08,0.09,0.5
Fabio Chiarodia,ITA,DF,Gladbach,19,16,3,379,4.2,1,0,1,1,0,0,0,0,0.3,0.3,0.4,0.7,1,10,1,0.24,0.0,0.24,0.24,0.24,0.07,0.1,0.17,0.07,0.17,2.0,0,7,0,0,0,9,4,0,4,1,25.0,0.95,0.24,0.25,1.0
Carney Chukwuemeka,ENG,MF,Dortmund,20,10,1,253,2.8,1,0,1,1,0,0,1,0,0.6,0.6,0.9,1.5,15,18,24,0.36,0.0,0.36,0.36,0.36,0.21,0.32,0.54,0.21,0.54,18.0,0,4,5,1,1,1,5,0,8,2,25.0,2.85,0.71,0.13,0.5
Alexis Claude-Maurice,FRA,"MF,FW",Augsburg,26,28,25,2109,23.4,9,2,11,9,0,0,4,0,4.7,4.7,1.2,5.9,59,61,102,0.38,0.09,0.47,0.38,0.47,0.2,0.05,0.25,0.2,0.25,12.0,0,26,42,3,21,15,26,0,59,22,37.3,2.52,0.94,0.15,0.41
Nnamdi Collins,GER,DF,Eint Frankfurt,20,24,15,1489,16.5,1,1,2,1,0,0,4,0,0.8,0.8,1.0,1.8,30,63,42,0.06,0.06,0.12,0.06,0.12,0.05,0.06,0.11,0.05,0.11,10.0,0,26,22,0,17,18,24,0,5,2,40.0,0.3,0.12,0.2,0.5
Kingsley Coman,FRA,FW,Bayern Munich,28,28,14,1282,14.2,5,4,9,5,0,0,0,0,4.3,4.3,3.3,7.6,66,45,215,0.35,0.28,0.63,0.35,0.63,0.3,0.23,0.53,0.3,0.53,30.0,0,9,12,8,47,8,11,0,44,17,38.6,3.09,1.19,0.11,0.29
Sirlord Conteh,GER,"FW,MF",Heidenheim,28,29,4,892,9.9,1,1,2,1,0,0,2,0,2.1,2.1,2.6,4.7,29,19,75,0.1,0.1,0.2,0.1,0.2,0.21,0.26,0.47,0.21,0.47,1.5,0,8,11,4,21,0,5,0,13,5,38.5,1.31,0.5,0.08,0.2
