Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Marco GrГјll,AUT,"FW,MF",Werder Bremen,26,13.1,1,0,0,22,31,6,21,5,10,,,0
RaphaГ«l Guerreiro,POR,"DF,MF",Bayern Munich,30,17.5,2,0,0,9,7,0,27,10,14,,,0
Morgan Guilavogui,GUI,"FW,MF",St Pauli,26,20.1,6,0,0,47,34,11,10,13,19,,,0
Serhou Guirassy,GUI,FW,Dortmund,28,28.9,4,0,0,16,53,12,1,5,6,,,0
PГ©ter GulГЎcsi,HUN,GK,RB Leipzig,34,29.2,0,0,0,0,1,0,0,0,1,,,0
Robert Gumny,POL,MF,Augsburg,26,3.0,2,0,0,4,4,0,4,1,3,,,0
Christian GГјnter,GER,DF,Freiburg,31,25.7,0,0,0,14,4,5,123,7,22,,,1
Janik Haberer,GER,MF,Union Berlin,30,18.8,1,0,0,21,15,3,15,18,28,,,0
Robin Hack,GER,MF,Gladbach,25,24.1,4,0,0,19,21,9,61,9,19,,,0
Amadou Haidara,MLI,MF,RB Leipzig,26,14.7,7,0,0,23,8,0,12,18,17,,,0
Andreas Hanche-Olsen,NOR,DF,Mainz 05,27,14.3,4,1,1,20,8,0,1,11,14,,,0
Phil Harres,GER,FW,Holstein Kiel,22,17.2,3,0,0,35,20,5,6,4,9,,,0
Ramon Hendriks,NED,DF,Stuttgart,23,12.8,3,0,0,12,14,0,12,15,11,,,0
Paul Hennrich,GER,MF,Hoffenheim,19,0.1,0,0,0,0,0,0,0,0,0,,,0
Benjamin Henrichs,GER,"DF,MF",RB Leipzig,27,10.4,3,0,0,13,9,0,19,15,16,,,0
Mario Hermoso,ESP,DF,Leverkusen,29,3.3,0,0,0,2,1,0,4,9,0,,,0
Piero HincapiГ©,ECU,DF,Leverkusen,22,29.7,8,0,0,26,43,0,36,32,40,,,1
Adam HloЕѕek,CZE,"FW,MF",Hoffenheim,22,20.8,2,0,0,16,30,6,20,4,11,,,0
Nicolas HГ¶fler,GER,MF,Freiburg,34,8.8,3,0,0,12,5,0,1,14,22,,,0
Jonas Hofmann,GER,MF,Leverkusen,32,4.0,1,0,0,1,9,0,5,0,0,,,0
Philipp Hofmann,GER,FW,Bochum,31,25.3,4,0,0,36,31,4,10,5,12,,,0
Lucas HГ¶ler,GER,"FW,MF",Freiburg,30,20.7,3,0,0,31,30,8,14,6,24,,,0
Benedict Hollerbach,GER,"FW,MF",Union Berlin,23,28.2,3,0,0,43,45,17,73,3,20,,,0
Lewis Holtby,GER,MF,Holstein Kiel,33,13.8,1,1,0,13,23,0,46,19,19,,,0
Gerrit Holtmann,PHI,"MF,DF",Bochum,29,12.6,2,0,0,26,7,4,90,16,18,,,0
Franck Honorat,FRA,MF,Gladbach,27,16.0,0,0,0,7,5,8,123,5,6,,,0
Mathias Honsak,AUT,"MF,FW",Heidenheim,27,13.1,1,0,0,14,13,2,47,9,9,,,0
Timo Horn,GER,GK,Bochum,31,13.0,2,0,0,0,2,0,0,0,0,,,0
LukГЎЕЎ HrГЎdeckГЅ,FIN,GK,Leverkusen,34,29.0,1,0,0,0,2,0,0,0,0,,,0
Robin HranГЎДЌ,CZE,DF,Hoffenheim,24,2.4,0,0,0,5,0,0,0,5,0,,,0
Hong Hyunseok,KOR,MF,Mainz 05,25,5.9,0,0,0,3,8,1,4,7,3,,,0
Oscar HГёjlund,DEN,MF,Eintracht Frankfurt,19,8.0,0,0,0,12,3,0,1,5,12,,,0
Arijon IbrahimoviД‡,GER,MF,Bayern Munich,18,0.0,0,0,0,0,0,0,0,0,0,,,0
Andrej Ilic,SRB,FW,Union Berlin,24,10.4,1,0,0,14,8,8,3,3,2,,,0
Jackson Irvine,AUS,MF,St Pauli,31,29.0,2,0,0,38,16,2,17,35,29,,,0
Ko Itakura,JPN,DF,Gladbach,27,31.0,5,0,0,28,12,1,8,28,29,,,0
Hiroki Ito,JPN,DF,Bayern Munich,25,2.8,1,0,0,2,3,0,2,4,0,,,0
Marko IveziД‡,SRB,DF,Holstein Kiel,22,18.4,5,0,0,27,5,1,2,26,18,,,0
Lee Jae-sung,KOR,MF,Mainz 05,31,29.4,4,0,0,23,40,9,31,37,24,,,0
Kristijan JakiД‡,CRO,MF,Augsburg,27,25.6,2,0,0,22,28,3,14,29,24,,,0
Luca Jaquez,SUI,DF,Stuttgart,21,2.8,0,0,0,4,0,0,1,3,0,,,0
Dominik JavorДЌek,SVK,"MF,DF",Holstein Kiel,21,4.3,2,0,0,7,6,1,21,5,0,,,0
Finn Jeltsch,GER,DF,Stuttgart,18,8.7,2,0,0,7,5,0,3,13,14,,,0
Fredrik Jensen,FIN,"MF,FW",Augsburg,26,8.5,0,0,0,5,5,3,21,5,7,,,0
Moritz Jenz,GER,DF,Mainz 05,25,17.8,4,0,0,27,6,1,0,29,23,,,0
Carl Johansson,SWE,DF,Holstein Kiel,30,6.3,0,1,0,5,4,0,0,11,2,,,0
Anthony Jung,GER,DF,Werder Bremen,32,21.1,1,0,0,9,15,2,4,26,21,,,0
Josip JuranoviД‡,CRO,"MF,DF",Union Berlin,28,12.9,4,0,0,8,6,1,77,6,13,,,0
David JurГЎsek,CZE,"DF,MF",Hoffenheim,23,6.9,0,0,0,1,2,1,55,7,3,,,0
Yusuf KabadayД±,GER,FW,Augsburg,20,0.8,0,0,0,1,1,1,1,0,0,,,0
Almugera Kabar,GER,DF,Dortmund,18,1.5,2,1,1,2,2,0,1,1,3,,,0
Issa KaborГ©,BFA,MF,Werder Bremen,23,3.4,0,0,0,4,8,1,19,2,5,,,0
Pavel KadeЕ™ГЎbek,CZE,"MF,DF",Hoffenheim,32,17.5,6,0,0,21,8,4,73,21,14,,,0
Jakub KamiЕ„ski,POL,"MF,DF",Wolfsburg,22,12.6,2,0,0,10,3,0,52,11,9,,,1
Kevin Kampl,SVN,MF,RB Leipzig,33,17.7,5,0,0,20,7,1,29,22,20,,,0
Harry Kane,ENG,FW,Bayern Munich,31,26.5,5,0,0,9,21,16,14,4,10,,,0
Atakan Karazor,TUR,MF,Stuttgart,27,29.1,10,1,1,37,59,2,4,33,32,,,0
Mikkel Kaufmann,DEN,"FW,MF",Heidenheim,23,4.1,2,0,0,5,14,0,2,2,4,,,0
Yannik Keitel,GER,MF,Stuttgart,24,3.0,1,0,0,2,6,0,2,4,6,,,0
Andu Kelati,GER,MF,Holstein Kiel,21,3.2,2,1,1,4,5,0,6,3,4,,,0
Thomas Keller,GER,"MF,DF",Heidenheim,24,1.6,2,0,0,6,4,0,0,4,5,,,0
Aljoscha Kemlein,GER,MF,Union Berlin,19,10.2,3,0,0,15,2,1,5,7,5,,,0
Luca Kerber,GER,MF,Heidenheim,22,8.7,4,0,0,22,8,0,3,5,16,,,0
Rani Khedira,GER,MF,Union Berlin,30,30.3,7,0,0,44,19,1,22,47,42,,,0
Joshua Kimmich,GER,MF,Bayern Munich,29,31.6,4,0,0,15,27,2,177,22,28,,,0
Tim Kleindienst,GER,FW,Gladbach,28,30.4,5,1,1,75,25,23,15,13,15,,,0
Lukas Klostermann,GER,DF,RB Leipzig,28,20.4,5,0,0,13,7,0,12,25,14,,,0
Ansgar Knauff,GER,MF,Eintracht Frankfurt,22,17.7,3,0,0,27,28,11,32,11,22,,,0
Magnus Knudsen,NOR,MF,Holstein Kiel,23,20.6,7,0,0,27,10,0,7,10,30,,,0
Gregor Kobel,SUI,GK,Dortmund,26,32.0,1,0,0,0,2,0,0,2,0,,,0
Robin Koch,GER,DF,Eintracht Frankfurt,28,28.7,3,0,0,23,13,1,1,25,11,,,0
Derrick KГ¶hn,GHA,"MF,DF",Werder Bremen,25,14.9,2,0,0,14,19,4,56,11,12,,,0
Dominik Kohr,GER,"DF,MF",Mainz 05,30,25.5,11,1,0,46,36,1,14,42,46,,,0
Marco Komenda,CRO,DF,Holstein Kiel,27,14.5,3,0,0,16,13,0,15,7,17,,,0
Mert KГ¶mГјr,GER,MF,Augsburg,19,7.3,1,0,0,7,12,3,26,2,2,,,0
Kacper Koscierski,GER,DF,Bochum,17,0.1,0,0,0,0,0,0,0,0,0,,,0
Henri Koudossou,GER,MF,Augsburg,24,8.3,1,0,0,7,5,2,24,14,9,,,0
Konstantinos Koulierakis,GRE,DF,Wolfsburg,20,27.4,4,0,0,24,13,2,13,32,22,,,0
Matej Kovar,CZE,GK,Leverkusen,24,5.0,0,0,0,0,1,0,0,0,0,,,0
Andrej KramariД‡,CRO,MF,Hoffenheim,33,30.7,4,0,0,12,28,9,116,9,8,,,0
Frans KrГ¤tzig,GER,DF,Stuttgart,21,14.1,1,0,0,8,4,4,39,18,19,,,0
Tom KrauГџ,GER,MF,Bochum,23,12.0,2,0,0,14,16,0,10,11,17,,,0
Rasmus Kristensen,DEN,"DF,MF",Eintracht Frankfurt,27,27.9,4,0,0,25,12,0,60,20,37,,,0
Lukas KГјbler,GER,DF,Freiburg,31,20.5,5,0,0,25,23,1,30,48,20,,,0
Jonah Kusi-Asare,SWE,FW,Bayern Munich,17,0.0,0,0,0,0,0,0,0,0,0,,,0
Moritz-Broni Kwarteng,GHA,MF,Bochum,26,1.9,1,0,0,3,1,0,1,0,3,,,0
Nediljko LabroviД‡,CRO,GK,Augsburg,24,15.0,0,0,0,0,2,0,0,0,0,,,0
Konrad Laimer,AUT,DF,Bayern Munich,27,18.9,8,0,0,35,12,1,21,5,24,,,0
Stefan Lainer,AUT,DF,Gladbach,31,8.4,2,0,0,11,6,3,29,12,13,,,1
Hugo Larsson,SWE,MF,Eintracht Frankfurt,20,26.6,2,0,0,21,5,2,8,33,29,,,0
Diogo Leite,POR,DF,Union Berlin,25,28.3,3,0,0,25,37,2,9,53,34,,,1
Maxim Leitsch,GER,DF,Mainz 05,26,7.5,2,0,0,10,4,0,3,8,4,,,0
Jamie Leweling,GER,MF,Stuttgart,23,18.5,4,0,0,17,29,4,57,11,7,,,0
Philipp Lienhart,AUT,DF,Freiburg,28,30.8,5,0,0,22,19,3,8,31,13,,,0
Marin Ljubicic,CRO,FW,Union Berlin,22,3.1,1,0,0,9,8,1,1,0,1,,,0
Anthony Losilla,FRA,MF,Bochum,38,12.6,1,0,0,18,9,1,4,18,15,,,0
Yannik LГјhrs,GER,DF,Dortmund,20,1.4,0,0,0,2,0,0,0,1,1,,,0
Castello Lukeba,FRA,DF,RB Leipzig,21,17.5,2,0,0,12,15,0,11,18,18,,,0
Senne Lynen,BEL,MF,Werder Bremen,25,30.4,9,0,0,39,25,0,5,64,38,,,0
Shuto Machino,JPN,"FW,MF",Holstein Kiel,24,21.7,2,0,0,20,25,9,33,7,5,,,0
Arne Maier,GER,MF,Augsburg,25,10.4,0,1,0,9,7,0,68,6,6,,,0
Patrick Mainka,GER,DF,Heidenheim,29,34.0,3,0,0,17,21,2,5,65,32,,,0
Lovro Majer,CRO,MF,Wolfsburg,26,3.4,1,0,0,6,6,0,16,1,2,,,0
Jordy Makengo,FRA,DF,Freiburg,22,8.3,1,0,0,5,6,2,25,6,9,,,0
Jarzinho Malanga,GER,MF,Stuttgart,18,0.0,0,0,0,0,0,0,0,0,0,,,0
JuliГЎn Malatini,ARG,DF,Werder Bremen,23,5.0,1,0,0,9,5,0,3,7,9,,,0
Donyell Malen,NED,MF,Dortmund,25,6.8,1,0,0,2,7,3,13,3,0,,,0
Lennard Maloney,USA,"DF,MF",Mainz 05,24,8.700000000000001,2,0,0,13,4,1,0,13,14,,,0
Johan Manzambi,SUI,MF,Freiburg,18,3.7,2,0,0,7,7,0,5,4,3,,,0
Omar Marmoush,EGY,"FW,MF",Eintracht Frankfurt,25,16.1,2,0,0,9,55,7,78,4,9,,,0
Giorgos Masouras,GRE,FW,Bochum,30,11.7,1,0,0,12,10,15,27,4,10,,,0
Erhan MaЕЎoviД‡,SRB,"DF,MF",Bochum,25,10.1,2,0,0,12,4,0,0,12,10,,,0
