Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Isidro Pitta,PAR,FW,Cuiabá,24,35,33,2831,31.5,7,2,9,4,3,4,5,0,9.7,6.6,3.9,10.5,50,52,168,0.22,0.06,0.29,0.13,0.19,0.31,0.12,0.43,0.21,0.33,2.0,0,29,35,30,16,3,4,0
Gonzalo Plata,ECU,"FW,MF",Flamengo,23,11,8,684,7.6,1,0,1,1,0,0,1,0,1.6,1.6,1.9,3.5,25,27,68,0.13,0.0,0.13,0.13,0.13,0.21,0.25,0.46,0.21,0.46,5.0,0,12,7,2,11,4,13,0
Tomas Pochettino,ARG,"MF,FW",Fortaleza,27,32,19,1648,18.3,5,6,11,5,0,1,3,0,3.2,2.2,4.7,6.9,57,89,117,0.27,0.33,0.6,0.27,0.6,0.17,0.26,0.43,0.12,0.38,2.0,0,19,20,4,131,5,10,0
Mateo Ponte,URU,DF,Botafogo (RJ),20,17,13,1132,12.6,3,0,3,3,0,0,3,0,1.5,1.5,1.0,2.5,22,45,97,0.24,0.0,0.24,0.24,0.24,0.12,0.08,0.19,0.12,0.19,0.15,0,22,9,3,42,21,25,0
Werik Popo,BRA,FW,Juventude,22,6,0,52,0.6,0,0,0,0,0,0,2,1,0.2,0.2,0.2,0.4,2,0,8,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.67,0.33,0.67,0.3,1,4,1,1,0,0,0,0
Gustavo Prado,BRA,"FW,MF",Internacional,18,28,3,664,7.4,1,0,1,1,0,0,1,0,1.3,1.3,1.6,2.9,21,29,66,0.14,0.0,0.14,0.14,0.14,0.17,0.22,0.39,0.17,0.39,0.0,0,9,10,2,33,1,15,0
Bruno Praxedes,BRA,MF,Vasco da Gama,21,13,5,499,5.5,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1.0,11,22,35,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.18,0.05,0.18,6.5,0,13,7,0,12,4,8,0
Erick Pulgar,CHI,MF,Flamengo,30,23,21,1750,19.4,0,3,3,0,0,0,7,1,1.0,0.9,1.8,2.7,12,110,20,0.0,0.15,0.15,0.0,0.15,0.05,0.09,0.14,0.05,0.14,6.0,1,33,13,0,10,28,28,0
Du Queiroz,BRA,MF,Grêmio,24,14,6,586,6.5,0,0,0,0,0,0,2,0,1.1,1.1,0.4,1.6,13,48,19,0.0,0.0,0.0,0.0,0.0,0.17,0.07,0.24,0.17,0.24,5.0,0,6,1,0,4,9,13,0
Igor Rabello,BRA,DF,Atlético Mineiro,28,16,10,966,10.7,0,1,1,0,0,0,3,1,0.3,0.3,0.2,0.5,2,21,3,0.0,0.09,0.09,0.0,0.09,0.03,0.02,0.05,0.03,0.05,3.0,0,14,5,1,1,16,11,0
