Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,league,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Khoren Bayramyan,ARM,"MF,FW",Rostov,32.0,25.0,6.0,719.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,6.0,8.0,0.0,24.0,5.0,11.0,0.0,6.0,1.0,16.7,0.75,0.13,0.0,0.0,RU1,,,,,,,,,,,,
Gilson Benchimol,CPV,"FW,MF",FK Akron Tolyatti,22.0,19.0,11.0,1033.0,11.5,3.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0,0.26,0.26,0.52,0.26,0.52,0.7,1.0,20.0,18.0,6.0,19.0,0.0,10.0,0.0,42.0,10.0,23.8,3.66,0.87,0.07,0.3,RU1,,,,,,,,,,,,
Bernard Berisha,KVX,"FW,MF",Akhmat Grozny,32.0,13.0,3.0,443.0,4.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.0,0.2,0.6,0.0,12.0,14.0,4.0,13.0,1.0,7.0,0.0,7.0,1.0,14.3,1.42,0.2,0.0,0.0,RU1,,,,,,,,,,,,
Iliya Berkovskiy,RUS,"MF,DF",FC Khimki,24.0,19.0,10.0,829.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,16.0,8.0,3.0,12.0,12.0,16.0,0.0,14.0,2.0,14.3,1.52,0.22,0.0,0.0,RU1,,,,,,,,,,,,
Stanislav Bessmertnyi,RUS,DF,Dynamo Mosc,20.0,2.0,2.0,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Ruslan Bezrukov,RUS,"DF,MF",Rubin Kazan,22.0,24.0,11.0,1157.0,12.9,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,0.23,0.23,0.47,0.23,0.47,1.0,0.0,17.0,16.0,2.0,13.0,15.0,21.0,0.0,17.0,7.0,41.2,1.32,0.54,0.18,0.43,RU1,,,,,,,,,,,,
Glenn Bijl,NED,DF,Samara,29.0,21.0,19.0,1456.0,16.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.06,0.0,0.06,0.06,0.06,1.5,0.0,25.0,13.0,2.0,65.0,12.0,26.0,1.0,14.0,6.0,42.9,0.87,0.37,0.07,0.17,RU1,,,,,,,,,,,,
Kristijan Bistrovic,CRO,MF,CSKA Moscow,26.0,20.0,11.0,967.0,10.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,2.0,0.0,11.0,13.0,0.0,10.0,6.0,3.0,0.0,17.0,3.0,17.6,1.58,0.28,0.06,0.33,RU1,,,,,,,,,,,,
Bitelo,BRA,MF,Dynamo Mosc,24.0,26.0,23.0,2080.0,23.1,3.0,11.0,14.0,3.0,0.0,0.0,2.0,0.0,0.13,0.48,0.61,0.13,0.61,12.0,0.0,22.0,53.0,2.0,131.0,17.0,21.0,0.0,54.0,21.0,38.9,2.34,0.91,0.06,0.14,RU1,,,,,,,,,,,,
Ivan Bober,RUS,MF,Samara,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Miroslav Bogosavac,SRB,"DF,MF",Akhmat Grozny,27.0,10.0,9.0,757.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,17.0,1.0,21.0,10.0,13.0,0.0,2.0,1.0,50.0,0.24,0.12,0.0,0.0,RU1,,,,,,,,,,,,
Marat Bokoev,RUS,DF,FK Akron Tolyatti,23.0,17.0,10.0,991.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.09,0.0,0.09,0.09,0.09,0.6,0.0,16.0,6.0,0.0,3.0,14.0,21.0,0.0,9.0,2.0,22.2,0.82,0.18,0.11,0.5,RU1,,,,,,,,,,,,
Denis Bokov,RUS,FW,Dynamo Mosc,18.0,2.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Maksim Boldyrev,RUS,MF,FK Akron Tolyatti,20.0,1.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Theo Bongonda,COD,"MF,FW",Spartak Moscow,28.0,27.0,25.0,1834.0,20.4,7.0,1.0,8.0,7.0,0.0,1.0,1.0,0.0,0.34,0.05,0.39,0.34,0.39,6.0,0.0,15.0,34.0,7.0,66.0,8.0,19.0,0.0,49.0,24.0,49.0,2.4,1.18,0.14,0.29,RU1,,,,,,,,,,,,
Kirill Bozhenov,RUS,"DF,MF",Nizhny Novgorod,23.0,14.0,11.0,786.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,17.0,17.0,0.0,14.0,11.0,6.0,0.0,2.0,0.0,0.0,0.23,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Sergei Bozhin,RUS,DF,Fakel Voronezh,29.0,23.0,21.0,1852.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,16.0,21.0,1.0,13.0,35.0,23.0,1.0,14.0,3.0,21.4,0.68,0.15,0.0,0.0,RU1,,,,,,,,,,,,
Mohamed Brahimi,FRA,"MF,DF",Fakel Voronezh,25.0,29.0,23.0,1871.0,20.8,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.05,0.0,0.05,0.05,0.05,0.9,0.0,41.0,57.0,5.0,64.0,27.0,52.0,0.0,13.0,3.0,23.1,0.63,0.14,0.08,0.33,RU1,,,,,,,,,,,,
Sergei Bryzgalov,RUS,DF,Fakel Voronezh,31.0,5.0,1.0,164.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15,1.0,2.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Juan Caceres,PAR,DF,Dynamo Mosc,24.0,10.0,10.0,900.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.0,0.2,3.5,0.0,14.0,10.0,0.0,30.0,19.0,25.0,0.0,4.0,0.0,0.0,0.4,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Egas Cacintura,ANG,"FW,MF",D'mo Makhachkala,26.0,26.0,24.0,2119.0,23.5,4.0,3.0,7.0,4.0,0.0,0.0,5.0,1.0,0.17,0.13,0.3,0.17,0.3,1.0,0.0,36.0,65.0,6.0,83.0,9.0,24.0,0.0,36.0,14.0,38.9,1.53,0.59,0.11,0.29,RU1,,,,,,,,,,,,
Camilo,BRA,MF,Akhmat Grozny,25.0,16.0,15.0,1359.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,22.0,14.0,0.0,5.0,38.0,41.0,0.0,7.0,0.0,0.0,0.46,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Felippe Cardoso,BRA,FW,Akhmat Grozny,25.0,12.0,8.0,608.0,6.8,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.3,0.0,0.3,0.3,0.3,0.75,0.0,5.0,16.0,5.0,0.0,2.0,0.0,0.0,21.0,7.0,33.3,3.11,1.04,0.1,0.29,RU1,,,,,,,,,,,,
Roberto Carlos Fernandez,BOL,DF,FK Akron Tolyatti,25.0,19.0,18.0,1624.0,18.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.11,0.11,0.0,0.11,1.2,0.0,22.0,19.0,1.0,68.0,29.0,33.0,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Jorge Carrascal,COL,"MF,FW",Dynamo Mosc,26.0,26.0,21.0,1725.0,19.2,7.0,3.0,10.0,4.0,3.0,3.0,3.0,1.0,0.37,0.16,0.52,0.21,0.37,7.0,0.0,33.0,55.0,10.0,49.0,7.0,27.0,0.0,43.0,18.0,41.9,2.24,0.94,0.09,0.22,RU1,,,,,,,,,,,,
Mateo Cassierra,COL,"FW,MF",Zenit,27.0,30.0,20.0,1831.0,20.3,8.0,4.0,12.0,7.0,1.0,1.0,0.0,0.0,0.39,0.2,0.59,0.34,0.54,10.0,0.0,22.0,14.0,8.0,0.0,3.0,13.0,0.0,51.0,19.0,37.3,2.51,0.93,0.14,0.37,RU1,,,,,,,,,,,,
Kevin Castano,COL,MF,Krasnodar,23.0,16.0,5.0,578.0,6.4,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.16,0.47,0.62,0.16,0.62,8.0,0.0,9.0,1.0,0.0,8.0,0.0,9.0,0.0,11.0,2.0,18.2,1.71,0.31,0.09,0.5,RU1,,,,,,,,,,,,
Juan Castillo,COL,"DF,MF",Nizhny Novgorod,21.0,11.0,3.0,349.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,5.0,1.0,0.0,15.0,3.0,2.0,0.0,6.0,3.0,50.0,1.55,0.77,0.0,0.0,RU1,,,,,,,,,,,,
Thabo Cele,RSA,"MF,FW",Fakel Voronezh,27.0,9.0,6.0,496.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,7.0,5.0,0.0,15.0,10.0,9.0,0.0,2.0,0.0,0.0,0.36,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Ronaldo Cesar,BRA,"FW,MF",Rostov,23.0,29.0,27.0,2355.0,26.2,4.0,3.0,7.0,4.0,0.0,1.0,4.0,0.0,0.15,0.11,0.27,0.15,0.27,4.0,0.0,34.0,32.0,9.0,11.0,4.0,21.0,0.0,65.0,22.0,33.8,2.48,0.84,0.06,0.18,RU1,,,,,,,,,,,,
Fyodor Chalov,RUS,FW,CSKA Moscow,26.0,2.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Luis Chavez,MEX,MF,Dynamo Mosc,28.0,19.0,17.0,1395.0,15.5,3.0,4.0,7.0,2.0,1.0,1.0,3.0,0.0,0.19,0.26,0.45,0.13,0.39,8.0,0.0,19.0,15.0,1.0,45.0,11.0,10.0,0.0,25.0,8.0,32.0,1.61,0.52,0.08,0.25,RU1,,,,,,,,,,,,
