Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Ole Romeny,IDN,FW,Utrecht,24.0,13,8,726,8.1,2,0,2,2,0,0,2,0,1.8,1.8,0.3,2.1,28,21,77,0.25,0.0,0.25,0.25,0.25,0.23,0.04,0.27,0.23,0.27,1.2,0,10,16,3,26,6,5,0,10,6,60.0,1.24,0.74,0.2,0.33
Bart van Rooij,NED,DF,NEC Nijmegen,23.0,34,34,3029,33.7,1,5,6,1,0,0,1,0,1.2,1.2,3.7,4.9,67,175,107,0.03,0.15,0.18,0.03,0.18,0.04,0.11,0.15,0.04,0.15,6.0,0,25,31,0,105,41,48,0,22,6,27.27,0.65,0.18,0.05,0.17
Kaj de Rooij,NED,"FW,MF",Zwolle,23.0,21,0,330,3.7,2,1,3,2,0,0,3,0,0.3,0.3,0.3,0.7,7,15,31,0.55,0.27,0.82,0.55,0.82,0.09,0.09,0.18,0.09,0.18,0.35,0,9,14,1,3,3,3,0,3,2,66.7,0.82,0.55,0.67,1.0
Ruben Roosken,NED,DF,Heracles Almelo,24.0,16,15,1222,13.6,1,2,3,1,0,0,4,0,0.2,0.2,1.7,1.9,28,36,76,0.07,0.15,0.22,0.07,0.22,0.01,0.13,0.14,0.01,0.14,0.6,0,18,7,1,60,16,19,0,7,1,14.3,0.52,0.07,0.14,1.0
Loreintz Rosier,FRA,"MF,DF",Fortuna Sittard,25.0,31,24,2148,23.9,3,1,4,3,0,0,6,0,1.5,1.5,1.0,2.4,24,98,15,0.13,0.04,0.17,0.13,0.17,0.06,0.04,0.1,0.06,0.1,0.9,0,29,27,0,8,36,26,0,20,5,25.0,0.84,0.21,0.15,0.6
Daan Rots,NED,FW,Twente,23.0,32,27,2173,24.1,3,6,9,3,0,0,4,0,4.8,4.8,4.3,9.1,39,106,195,0.12,0.25,0.37,0.12,0.37,0.2,0.18,0.38,0.2,0.38,4.0,0,19,42,5,35,8,35,0,47,17,36.2,1.95,0.7,0.06,0.18
Mats Rots,NED,DF,Heracles Almelo,18.0,15,15,1317,14.6,1,0,1,1,0,0,0,0,1.0,1.0,0.8,1.8,19,43,38,0.07,0.0,0.07,0.07,0.07,0.07,0.05,0.12,0.07,0.12,1.0,0,8,10,0,15,19,23,0,16,2,12.5,1.09,0.14,0.06,0.5
Manu Royo,ESP,DF,NAC Breda,30.0,3,1,106,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,4,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,0.15,0,1,1,0,2,2,0,0,2,0,0.0,1.7,0.0,0.0,0.0
Daniele Rugani,ITA,DF,Ajax,30.0,15,7,710,7.9,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,51,0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,3.0,0,10,2,1,1,13,3,0,6,0,0.0,0.76,0.0,0.0,0.0
Pim Saathof,NED,DF,Go Ahead Eag,20.0,1,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Michal Sadilek,CZE,"MF,DF",Twente,25.0,21,18,1599,17.8,2,4,6,2,0,0,3,0,0.5,0.5,2.1,2.6,24,74,34,0.11,0.23,0.34,0.11,0.34,0.03,0.12,0.15,0.03,0.15,8.0,0,19,25,1,71,18,25,0,7,3,42.9,0.39,0.17,0.29,0.67
Ibrahim Sadiq,GHA,FW,AZ Alkmaar,24.0,19,12,976,10.8,6,4,10,6,0,0,1,0,2.9,2.9,4.2,7.0,20,34,80,0.55,0.37,0.92,0.55,0.92,0.27,0.38,0.65,0.27,0.65,3.5,0,19,18,1,19,7,10,0,27,13,48.1,2.49,1.2,0.22,0.46
Danilo Al Saed,IRQ,"MF,FW",Heerenveen,25.0,6,2,202,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,9,10,29,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,0.8,0,2,1,0,1,1,5,0,1,1,100.0,0.45,0.45,0.0,0.0
Ismael Saibari,MAR,MF,PSV Eindhoven,23.0,29,20,1782,19.8,11,11,22,11,0,0,2,0,11.2,11.2,3.8,15.0,81,111,172,0.56,0.56,1.11,0.56,1.11,0.57,0.19,0.76,0.57,0.76,27.0,0,24,20,5,15,12,20,0,84,37,44.0,4.24,1.87,0.13,0.3
Anass Salah-Eddine,NED,DF,Twente,22.0,18,15,1280,14.2,2,2,4,2,0,0,1,0,0.7,0.7,1.4,2.1,55,76,80,0.14,0.14,0.28,0.14,0.28,0.05,0.1,0.15,0.05,0.15,8.0,0,9,16,1,28,17,19,0,10,6,60.0,0.7,0.42,0.2,0.33
Giandro Sambo,CUW,"FW,DF",Heracles Almelo,17.0,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0,2,1,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0
Philippe Sandler,NED,DF,NEC Nijmegen,27.0,19,19,1406,15.6,0,0,0,0,0,0,1,0,0.2,0.2,0.7,0.9,21,88,11,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,2.3,0,12,11,1,2,22,15,0,5,0,0.0,0.32,0.0,0.0,0.0
Cisse Sandra,BEL,"FW,MF",Willem II,20.0,26,22,1873,20.8,4,2,6,4,0,0,1,0,3.0,3.0,1.0,4.0,26,42,93,0.19,0.1,0.29,0.19,0.29,0.15,0.05,0.19,0.15,0.19,1.0,0,31,12,2,23,14,1,0,39,12,30.8,1.87,0.58,0.1,0.33
Kodai Sano,JPN,"MF,FW",NEC Nijmegen,20.0,25,23,1970,21.9,2,2,4,2,0,0,3,1,1.5,1.5,1.6,3.1,20,72,44,0.09,0.09,0.18,0.09,0.18,0.07,0.07,0.14,0.07,0.14,4.0,0,31,39,1,16,27,21,0,28,6,21.4,1.28,0.27,0.07,0.33
Leo Sauer,SVK,"MF,FW",NAC Breda,18.0,31,29,2482,27.6,7,2,9,6,1,1,2,0,5.5,4.7,2.7,7.5,124,65,197,0.25,0.07,0.33,0.22,0.29,0.2,0.1,0.3,0.17,0.27,5.0,0,21,46,3,82,4,26,0,66,21,31.8,2.39,0.76,0.09,0.29
Yousri Sbai,NED,"DF,MF",NEC Nijmegen,19.0,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
