Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Vi­tor Tormena,BRA,DF,Krasnodar,28,23,22,2052,22.8,2,1,3,2,0,0,4,0,0.09,0.04,0.13,0.09,0.13,7.0,0,25,5,0,1,30,19,0,15,4,26.7,0.66,0.18,0.13,0.5
Vladislav Torop,RUS,GK,CSKA Moscow,20,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Aleksandr Troshechkin,RUS,MF,Nizhny Novgorod,28,23,13,1066,11.8,1,1,2,1,0,0,3,0,0.08,0.08,0.17,0.08,0.17,0.7,0,23,9,1,2,10,16,0,6,3,50.0,0.51,0.25,0.17,0.33
Valeri Tsarukyan,RUS,"FW,MF",Nizhny Novgorod,22,18,6,657,7.3,3,1,4,3,0,0,0,0,0.41,0.14,0.55,0.41,0.55,0.35,0,12,30,0,20,3,7,0,16,8,50.0,2.19,1.1,0.19,0.38
Dmitri Tsypchenko,RUS,FW,Samara,25,16,3,392,4.4,1,0,1,1,0,0,1,0,0.23,0.0,0.23,0.23,0.23,0.5,0,7,1,1,4,1,5,0,16,4,25.0,3.67,0.92,0.06,0.25
Ze Turbo,GNB,FW,Nizhny Novgorod,27,14,5,478,5.3,2,0,2,2,0,0,2,0,0.38,0.0,0.38,0.38,0.38,0.45,0,15,14,7,1,1,0,0,8,3,37.5,1.51,0.56,0.25,0.67
Konstantin Tyukavin,RUS,FW,Dynamo Mosc,22,19,18,1499,16.7,7,2,9,6,1,2,0,0,0.42,0.12,0.54,0.36,0.48,16.0,0,18,21,12,1,2,7,0,54,18,33.3,3.24,1.08,0.11,0.33
Manfred Ugalde,CRC,FW,Spartak Moscow,22,29,26,2121,23.6,17,3,20,17,0,0,2,0,0.72,0.13,0.85,0.72,0.85,15.0,0,46,57,10,11,4,13,0,75,36,48.0,3.18,1.53,0.23,0.47
Vadim Ulyanov,RUS,GK,Akhmat Grozny,22,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Nail Umyarov,RUS,MF,Spartak Moscow,24,28,27,2327,25.9,3,0,3,3,0,0,6,0,0.12,0.0,0.12,0.12,0.12,4.0,0,43,27,0,3,65,39,0,22,7,31.8,0.85,0.27,0.14,0.43
