Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Jon Martin,ESP,DF,Real Sociedad,18,13,6,904,10.0,0,1,1,0,0,0,2,0,0.6,0.6,0.2,0.8,4,34,0,0.0,0.1,0.1,0.0,0.1,0.06,0.02,0.08,0.06,0.08,8.0,0,20,0,0,0,7,9,0,9,2,22.2,0.9,0.2,0.0,0.0
Mario Martin,ESP,MF,Valladolid,20,30,20,1748,19.4,0,1,1,0,0,0,8,3,1.8,1.8,1.4,3.2,18,66,22,0.0,0.05,0.05,0.0,0.05,0.09,0.07,0.16,0.09,0.16,1.5,1,50,44,1,11,21,32,0,27,13,48.1,1.39,0.67,0.0,0.0
Arnau Martinez,ESP,"DF,MF",Girona,21,32,30,2624,29.2,2,2,4,2,0,0,3,0,1.2,1.2,2.2,3.5,41,162,102,0.07,0.07,0.14,0.07,0.14,0.04,0.08,0.12,0.04,0.12,10.0,0,20,37,2,58,31,30,0,19,6,31.6,0.65,0.21,0.11,0.33
Inigo Martinez,ESP,DF,Barcelona,33,28,28,2490,27.7,0,4,4,0,0,0,5,0,0.5,0.5,2.6,3.1,70,260,11,0.0,0.14,0.14,0.0,0.14,0.02,0.1,0.11,0.02,0.11,5.0,0,18,28,0,8,20,14,0,13,2,15.4,0.47,0.07,0.0,0.0
Javi Martinez,ESP,MF,Osasuna,24,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ramon Martinez,ESP,DF,Sevilla,21,5,2,261,2.9,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,1,5,2,0.34,0.0,0.34,0.34,0.34,0.12,0.02,0.14,0.12,0.14,1.0,0,1,1,0,0,2,3,0,4,3,75.0,1.38,1.03,0.25,0.33
Toni Martinez,ESP,FW,Alavés,27,28,9,1012,11.2,4,0,4,4,0,0,1,0,3.6,3.6,0.6,4.2,13,11,57,0.36,0.0,0.36,0.36,0.36,0.32,0.05,0.37,0.32,0.37,2.5,0,17,12,8,6,0,6,0,46,15,32.6,4.09,1.33,0.09,0.27
Javi Marton,ESP,"FW,MF",Athletic Club,25,3,0,53,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Marvin,ESP,"DF,FW",Las Palmas,24,23,9,1038,11.5,0,0,0,0,0,0,4,0,0.2,0.2,1.1,1.3,29,30,72,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,1.2,0,20,17,0,52,14,14,0,5,0,0.0,0.43,0.0,0.0,0.0
Omar Mascarell,EQG,MF,Mallorca,31,32,21,1992,22.1,1,0,1,1,0,0,5,1,0.5,0.5,0.2,0.7,10,75,12,0.05,0.0,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03,0.9,0,30,13,0,5,51,12,0,9,2,22.2,0.41,0.09,0.11,0.5
