Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Bogdan Jocic,SRB,MF,Rubin Kazan,23,9.8,2,12,4,33.3,1.23,0.41,0.17,0.5,0,0
Willian JosГ©,BRA,FW,Spartak Moscow,32,1.6,0,7,1,14.3,4.37,0.62,0.0,0.0,0,0
Aleksandar Jukic,AUT,"MF,FW",Rubin Kazan,24,2.8,1,4,2,50.0,1.43,0.71,0.25,0.5,0,0
Dmitri Kabutov,RUS,"DF,MF",Rubin Kazan,32,27.3,1,31,4,12.9,1.14,0.15,0.03,0.25,0,0
Soslan Kagermazov,RUS,"MF,DF",D'mo Makhachkala,27,19.1,1,6,2,33.3,0.31,0.1,0.17,0.5,0,0
Nikita Kakkoyev,RUS,"DF,MF",Nizhny Novgorod,24,23.0,0,16,7,43.8,0.7,0.3,0.0,0.0,0,0
Ihor Kalinin,UKR,"DF,MF",Fakel Voronezh,28,18.4,0,8,1,12.5,0.44,0.05,0.0,0.0,0,0
Nikolay Kalinsky,RUS,MF,Nizhny Novgorod,30,18.8,1,20,6,30.0,1.06,0.32,0.0,0.0,1,2
Vladislav Kamilov,RUS,MF,Akhmat Grozny,28,14.9,2,12,2,16.7,0.8,0.13,0.17,1.0,0,0
Kirill Kaplenko,BLR,MF,FC Khimki,25,1.7,0,1,0,0.0,0.6,0.0,0.0,0.0,0,0
Vladislav Karapuzov,RUS,"FW,DF",Nizhny Novgorod,24,6.6,0,7,2,28.6,1.07,0.31,0.0,0.0,0,0
KazД±mcan KarataЕџ,TUR,DF,Orenburg,21,13.7,1,14,1,7.1,1.02,0.07,0.07,1.0,0,0
Vyacheslav Karavayev,RUS,DF,Zenit,29,8.3,0,3,2,66.7,0.36,0.24,0.0,0.0,0,0
Artem Karpukas,RUS,MF,Loko Moscow,22,17.3,1,11,1,9.1,0.64,0.06,0.09,1.0,0,0
Aleksei Kashtanov,RUS,FW,Fakel Voronezh,28,17.7,2,33,7,21.2,1.87,0.4,0.06,0.29,0,0
Artem Kasimov,RUS,DF,Orenburg,21,10.1,1,1,1,100.0,0.1,0.1,1.0,1.0,0,0
Anton KavaloЕ­,BLR,"MF,DF",Fakel Voronezh,24,2.6,0,2,0,0.0,0.77,0.0,0.0,0.0,0,0
Evgenii Kharin,RUS,MF,Akhmat Grozny,29,0.3,0,1,0,0.0,2.9,0.0,0.0,0.0,0,0
Khellven,BRA,"MF,DF",CSKA Moscow,23,17.4,3,18,9,50.0,1.04,0.52,0.17,0.33,0,0
Daniil Khlusevich,RUS,"DF,MF",Spartak Moscow,23,7.8,0,13,1,7.7,1.66,0.13,0.0,0.0,0,0
Khetag Khosonov,RUS,MF,FC Khimki,26,14.9,1,22,5,22.7,1.48,0.34,0.05,0.2,0,1
Danila Khotulev,RUS,DF,Orenburg,21,7.1,0,1,0,0.0,0.14,0.0,0.0,0.0,0,0
Maksim Khramtsov,RUS,DF,D'mo Makhachkala,22,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Vladimir Khubulov,RUS,"MF,FW",FK Akron Tolyatti,23,10.8,5,22,10,45.5,2.05,0.93,0.23,0.5,0,0
Ilia Kirsh,RUS,"MF,DF",D'mo Makhachkala,19,1.9,0,1,0,0.0,0.54,0.0,0.0,0.0,0,0
Matvei Kisliak,RUS,MF,CSKA Moscow,19,17.6,1,26,10,38.5,1.48,0.57,0.04,0.1,0,0
Sekou Koita,MLI,"FW,MF",CSKA Moscow,24,8.9,3,24,8,33.3,2.69,0.9,0.13,0.38,0,0
Nikita Kokarev,RUS,GK,FC Khimki,21,21.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Aleksandr Koksharov,RUS,FW,Nizhny Novgorod,19,4.5,1,12,4,33.3,2.69,0.9,0.08,0.25,0,0
Aleksey Koltakov,RUS,MF,Rostov,18,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
